feature,importance
band_abs_Fp1_gamma,0.0801444947181901
band_rel_ECGECG_alpha,0.0700026346118901
corr_T5_A2A1,0.06675200587074379
corr_F4_F8,0.037278935138337285
band_rel_ECGECG_beta,0.03598343169869927
band_abs_A2A1_gamma,0.034052420785041136
band_rel_T6_gamma,0.029712129118437302
region_temporal_band_rel_mean_gamma,0.02905252358613102
band_abs_A2A1_theta,0.026149465103290054
band_abs_F4_gamma,0.01716394534219245
band_abs_A2A1_beta,0.015878998993088166
band_abs_Fp2_gamma,0.015192927402395556
corr_O1_Pz,0.014531927808647108
band_abs_P4_alpha,0.014476562190971806
stat_ECGECG_shannon_entropy,0.014114615525547358
corr_P3_Pz,0.013635915812454899
hjorth_T6_mobility,0.013203176832438709
corr_Fp2_Fz,0.012705559396850377
band_abs_Fp1_theta,0.012594602236541259
hjorth_ECGECG_complexity,0.011572242228639779
hjorth_A2A1_mobility,0.010990727629689494
corr_Fp1_F7,0.010619303111159564
band_abs_Fp1_delta,0.010613948973543997
corr_F8_C3,0.01001371571173111
corr_C4_O1,0.009292450936239186
band_rel_ECGECG_delta,0.008690686689447325
band_rel_A2A1_gamma,0.008519060914740162
hjorth_O2_mobility,0.008450382049711044
band_abs_O1_beta,0.008247313145058397
band_abs_F4_beta,0.007568983102237619
hjorth_ECGECG_activity,0.0075169779497151834
region_frontal_band_rel_mean_alpha,0.0074759897664903145
corr_F7_A2A1,0.007238211432116451
hjorth_Fp1_complexity,0.00699460614157283
global_band_rel_std_beta,0.006852051761873076
band_abs_ECGECG_gamma,0.006815771343502716
global_band_abs_mean_gamma,0.006678254720105399
stat_Fp2_ptp,0.006630746055560817
band_abs_P3_gamma,0.005946850905867155
band_abs_F8_delta,0.005868845814733942
band_abs_ECGECG_delta,0.005778274228956304
stat_P3_ptp,0.005739712843544143
corr_Fp1_A2A1,0.0053462957232243745
stat_ECGECG_skew,0.005319406383557166
region_other_band_rel_mean_delta,0.005254395429329491
stat_ECGECG_kurtosis,0.005153444204141016
corr_Fp2_O1,0.004942265861064527
corr_A2A1_ECGECG,0.004846769798663406
corr_F7_F8,0.0048192827030588544
hjorth_P3_mobility,0.004815521715462174
stat_C3_rms,0.0045445570665876255
corr_F3_F7,0.004421967338096872
corr_F8_A2A1,0.004335701328627059
stat_P4_ptp,0.004318017126834146
band_abs_Pz_alpha,0.004281331366961781
band_rel_Fp2_alpha,0.004210864884771839
band_abs_ECGECG_alpha,0.00417151910139473
band_rel_T5_gamma,0.004096062042183758
stat_Cz_ptp,0.004061552156465593
hjorth_Cz_activity,0.00400794497310852
stat_O1_std,0.0039536284324877945
spectral_ECGECG_entropy,0.003928515271848578
global_band_abs_std_gamma,0.0038686790527039418
hjorth_Fp1_activity,0.00380085695843741
global_band_abs_mean_delta,0.003738789092742798
ratio_ECGECG_theta_beta,0.003721514418352349
stat_T3_rms,0.0036136924838378643
corr_Fp1_P4,0.0036066134855520992
corr_T4_C4,0.003600883701724564
band_rel_F7_beta,0.0035063361988059883
corr_C3_P3,0.0034013257736874446
hjorth_F8_complexity,0.0033770942952374783
band_abs_T6_gamma,0.0033274050964372556
stat_Cz_rms,0.0032117901807778484
band_abs_C3_gamma,0.0031479938439248926
corr_Fp2_F7,0.0030988201666311338
corr_T3_C3,0.0030581684927383154
hjorth_F7_complexity,0.0030221528740072795
ratio_ECGECG_beta_alpha,0.003000851006382708
region_other_band_rel_mean_gamma,0.0029610379498040424
global_band_abs_std_alpha,0.0029573941602571647
stat_F7_std,0.0029450419752640555
hjorth_C3_complexity,0.0028201237109132214
corr_T3_A2A1,0.0026734248677397917
hjorth_A2A1_complexity,0.002642065392813333
corr_F3_O1,0.0026207770763370863
region_temporal_band_rel_mean_beta,0.002600768213883454
hjorth_Fp2_activity,0.002597916822234186
band_abs_O1_alpha,0.002543800957565667
hjorth_Fp2_mobility,0.002529475715459332
ratio_T3_beta_alpha,0.0025101130525357475
hjorth_T5_mobility,0.00246959584337137
band_rel_ECGECG_gamma,0.0024656110204895358
stat_Fp2_rms,0.0023614266737181254
band_rel_ECGECG_theta,0.0022870003570276123
stat_Fp1_rms,0.0022451501424908048
band_abs_ECGECG_beta,0.002220841757245627
stat_F7_mean,0.002191929233164906
stat_Pz_ptp,0.002140245325497065
corr_C4_T5,0.002100424488404907
corr_T4_A2A1,0.0020230497765447364
corr_C4_ECGECG,0.0019835236978479782
corr_P3_Fz,0.0018178645705091655
stat_O2_shannon_entropy,0.001780735244750248
corr_P4_O2,0.001759167964212154
corr_O2_Pz,0.0015935225919747886
band_abs_Pz_theta,0.001524312161470404
