feature,importance
stat_ECGECG_skew,1.6165245917467241
stat_ECGECG_shannon_entropy,1.3444393534070498
corr_C4_ECGECG,1.111743994613451
band_abs_Fp2_gamma,1.0290782463979398
band_rel_ECGECG_alpha,1.011998675319009
band_abs_A2A1_alpha,1.0058524471709689
corr_F8_T4,0.9659158183087023
hjorth_A2A1_mobility,0.9281674756515684
corr_F7_A2A1,0.8834870637618992
corr_Fp1_P4,0.8606735126271057
corr_P3_Pz,0.8440270789302254
spectral_Pz_entropy,0.8372407430028856
band_abs_Fp1_theta,0.8255860395267112
corr_C3_A2A1,0.8151656358193065
spectral_ECGECG_entropy,0.8131975653789286
corr_O1_O2,0.8008544349807685
corr_T4_A2A1,0.7852731236387308
corr_T5_A2A1,0.7618732490914356
band_abs_F7_alpha,0.7579270447060317
band_abs_Fp2_theta,0.754127161889411
corr_C3_P4,0.7316158919307879
band_rel_ECGECG_delta,0.7198848522619685
stat_A2A1_rms,0.7116031638267869
stat_A2A1_std,0.7078080061965192
band_abs_F7_gamma,0.7077746232000494
band_abs_C4_gamma,0.6730200559184206
band_rel_F8_beta,0.6728742516639054
spectral_F8_entropy,0.6630402106266109
corr_F8_ECGECG,0.6571021115046715
ratio_T4_theta_beta,0.6266611570281769
stat_A2A1_kurtosis,0.6263269941408351
stat_T3_ptp,0.6197659387923133
band_abs_F4_gamma,0.6196326468354613
corr_Fp1_O1,0.6187652425280362
band_abs_O2_beta,0.6176904882000791
corr_C3_P3,0.6081240833285956
band_abs_Fp2_beta,0.6037392333658085
stat_Fp2_rms,0.6005607916591128
region_other_band_rel_mean_beta,0.5956513256844178
band_rel_ECGECG_beta,0.5944212423116108
spectral_T3_entropy,0.5924829924731551
stat_Fp2_std,0.5911264112382725
band_abs_Fp1_delta,0.5877005386169014
hjorth_T4_mobility,0.5861881702699433
stat_O1_skew,0.5723624113328708
corr_F7_O1,0.5717892954084886
corr_C4_O1,0.5709786046228924
band_rel_T6_beta,0.568399962970631
