feature,importance
region_temporal_band_rel_mean_gamma,0.024737665429711342
band_abs_Fp1_gamma,0.01838519237935543
stat_ECGECG_rms,0.018093110993504524
band_abs_F4_gamma,0.017117632552981377
region_frontal_band_rel_mean_alpha,0.01589296944439411
corr_F3_F8,0.0148989362642169
band_rel_T6_gamma,0.014087196439504623
corr_T5_A2A1,0.011788676492869854
band_abs_P4_alpha,0.011227375827729702
band_abs_Fp1_delta,0.010224089957773685
stat_ECGECG_ptp,0.009902643971145153
stat_P3_ptp,0.009725370444357395
band_abs_F7_beta,0.009614753536880016
region_other_band_rel_mean_beta,0.00922931358218193
band_rel_Fp2_alpha,0.009195403195917606
band_rel_T5_gamma,0.008960535749793053
stat_C3_std,0.008702600374817848
corr_P4_Pz,0.008561053313314915
band_abs_A2A1_theta,0.008541962131857872
hjorth_Fp2_complexity,0.008292773738503456
band_abs_T3_theta,0.008080324158072472
corr_F8_C3,0.008048992604017258
band_rel_ECGECG_delta,0.007981278002262115
ratio_F7_beta_alpha,0.007897346280515194
global_band_abs_mean_beta,0.007709503639489412
band_rel_ECGECG_alpha,0.007586306426674128
stat_Pz_ptp,0.007449978031218052
stat_O1_std,0.007329339161515236
stat_P3_std,0.00720260152593255
corr_C4_O1,0.007068884093314409
hjorth_A2A1_mobility,0.007044357713311911
band_rel_Fp1_theta,0.0069451541639864445
corr_P3_Pz,0.006873228587210178
corr_C3_P3,0.006763868033885956
hemisphere_right_band_rel_mean_alpha,0.0067423488944768906
band_abs_A2A1_gamma,0.006724132224917412
band_rel_O2_gamma,0.006657880265265703
stat_O1_ptp,0.006410121917724609
band_rel_T3_gamma,0.0062483493238687515
band_abs_C3_gamma,0.006138334982097149
corr_F3_F7,0.006128199398517609
corr_P3_O1,0.006112771108746529
band_abs_Fp1_theta,0.006044697016477585
hjorth_T6_mobility,0.006043006666004658
hjorth_F7_complexity,0.005982083734124899
band_rel_ECGECG_beta,0.005850241053849459
global_band_rel_std_beta,0.0057015991769731045
corr_T3_C3,0.0055651916190981865
global_band_abs_mean_theta,0.005478305742144585
corr_Fp2_O1,0.005367914214730263
corr_F4_F8,0.0052856518886983395
corr_F3_O1,0.005185661371797323
global_band_rel_std_gamma,0.005181344226002693
stat_Cz_ptp,0.005005108192563057
hjorth_F8_complexity,0.0049881720915436745
stat_C4_std,0.004983233753591776
band_abs_F4_beta,0.004973969422280788
stat_Cz_rms,0.004956481512635946
band_abs_Pz_beta,0.004817784298211336
stat_Cz_std,0.0046226768754422665
stat_ECGECG_shannon_entropy,0.004619691055268049
region_other_band_rel_mean_gamma,0.004592380952090025
band_abs_A2A1_beta,0.0045664431527256966
band_abs_Cz_beta,0.004562152549624443
band_rel_Fp1_alpha,0.004522926174104214
corr_O1_Pz,0.00452220207080245
band_rel_A2A1_gamma,0.004489004611968994
band_rel_P4_delta,0.004454395733773708
global_band_abs_mean_alpha,0.004423600155860186
band_abs_Fp2_gamma,0.00440769549459219
ratio_Fp2_theta_alpha,0.004364597145467997
corr_Fp1_F7,0.004301775712519884
hjorth_O2_mobility,0.004251200705766678
band_rel_Pz_beta,0.004244632087647915
stat_A2A1_var,0.004227770026773214
band_abs_O1_beta,0.004215667024254799
band_rel_T5_alpha,0.004188518039882183
corr_Fp2_C4,0.004132675938308239
hjorth_Fp1_complexity,0.0041206637397408485
corr_F4_A2A1,0.004110079724341631
corr_F8_Cz,0.004082234110683203
stat_Fp2_ptp,0.003989288117736578
corr_T4_C4,0.003967979922890663
ratio_F4_theta_alpha,0.003958104178309441
hjorth_ECGECG_complexity,0.003952100872993469
band_abs_F8_delta,0.003928136546164751
hjorth_F3_mobility,0.003897422458976507
ratio_ECGECG_theta_beta,0.003883039578795433
region_frontal_band_rel_mean_gamma,0.0038308007642626762
stat_Fp2_std,0.0038272044621407986
region_temporal_band_rel_mean_beta,0.003826865926384926
corr_Fp2_Fz,0.0037315452937036753
band_abs_Fp2_beta,0.0037014721892774105
stat_Fp2_rms,0.0036861849948763847
global_band_abs_mean_gamma,0.0036219481844455004
stat_Fp1_rms,0.0034766874741762877
band_abs_O2_beta,0.003472820157185197
band_abs_O1_alpha,0.003469295334070921
band_rel_P3_beta,0.0034605120308697224
band_abs_ECGECG_beta,0.0034122446086257696
band_rel_O1_beta,0.0033966705668717623
band_rel_F3_beta,0.003328524762764573
corr_F7_A2A1,0.0033276488538831472
corr_F8_Fz,0.003326699836179614
corr_Fp1_T3,0.0033125041518360376
region_other_band_rel_mean_delta,0.0033057755790650845
stat_T3_rms,0.0032732265535742044
band_abs_P3_alpha,0.0031782295554876328
ratio_F3_theta_alpha,0.0031721838749945164
band_abs_ECGECG_delta,0.0031291053164750338
band_abs_ECGECG_gamma,0.0030005082953721285
band_abs_C3_beta,0.002986835315823555
stat_F7_std,0.002943158382549882
spectral_ECGECG_entropy,0.002885795198380947
stat_T3_std,0.0028584811370819807
corr_Fp1_A2A1,0.00284641538746655
band_abs_Pz_alpha,0.0028233604971319437
hjorth_P3_mobility,0.0028169448487460613
corr_O2_Pz,0.0027939574792981148
stat_Fp1_ptp,0.0027749508153647184
corr_T3_T5,0.002770826919004321
corr_T4_A2A1,0.00274916784837842
ratio_O2_beta_alpha,0.002733507426455617
hjorth_T4_mobility,0.0026580756530165672
band_rel_Fp1_beta,0.002606903435662389
global_band_abs_std_alpha,0.0025880911853164434
band_abs_T6_gamma,0.0025870255194604397
corr_Fp1_F3,0.002567354356870055
spectral_A2A1_entropy,0.0025666379369795322
hjorth_T5_mobility,0.002533409744501114
hjorth_C4_activity,0.0025330891367048025
band_abs_O1_theta,0.0025272835046052933
connectivity_corr_std,0.0025011824909597635
stat_ECGECG_skew,0.002492668805643916
stat_Fp1_std,0.002428594743832946
ratio_ECGECG_theta_alpha,0.0023897795472294092
band_abs_C4_beta,0.0023778825998306274
global_band_rel_std_alpha,0.002347104251384735
band_abs_F3_beta,0.0023448122665286064
stat_ECGECG_kurtosis,0.0023311811964958906
corr_F8_T4,0.0023307655937969685
stat_P3_shannon_entropy,0.00231914222240448
global_band_abs_std_beta,0.0022799742873758078
band_abs_T5_alpha,0.002277572639286518
stat_F7_shannon_entropy,0.002271699020639062
ratio_F8_theta_beta,0.002238138346001506
band_abs_T5_theta,0.0022348728962242603
band_abs_T3_alpha,0.0022263263817876577
band_abs_Cz_gamma,0.002201481256633997
stat_Fp1_var,0.0021917419508099556
stat_O2_std,0.002190267900004983
corr_C4_ECGECG,0.0021873642690479755
hjorth_O1_complexity,0.00218143779784441
band_rel_F7_gamma,0.00216510402970016
band_abs_P3_theta,0.0021641820203512907
stat_T6_var,0.00215810164809227
corr_T5_Cz,0.0021549733355641365
global_band_abs_std_gamma,0.0021517269778996706
band_rel_F8_delta,0.0021407653111964464
corr_T4_T6,0.0021284697577357292
stat_F7_var,0.002127810614183545
global_band_abs_std_delta,0.0020985829178243876
corr_T3_A2A1,0.0020977056119590998
corr_F7_F8,0.0020940464455634356
stat_P4_std,0.0020931779872626066
stat_P3_skew,0.0020850850269198418
corr_F4_T5,0.0020829630084335804
band_rel_ECGECG_theta,0.0020481476094573736
ratio_F7_theta_alpha,0.0020435284823179245
band_rel_A2A1_beta,0.00202812347561121
stat_A2A1_std,0.0020276797004044056
hjorth_T3_mobility,0.002019149949774146
band_abs_A2A1_delta,0.002008024835959077
stat_F8_std,0.0019899499602615833
band_abs_P4_beta,0.0019895664881914854
stat_A2A1_shannon_entropy,0.001989521784707904
corr_C4_Pz,0.001982405548915267
band_rel_Fp2_gamma,0.0019686692394316196
ratio_T5_theta_alpha,0.0019395665731281042
corr_A2A1_ECGECG,0.0019225948490202427
corr_C4_T5,0.0018794334027916193
corr_F8_A2A1,0.0018668114207684994
stat_F8_rms,0.0018389209872111678
corr_F8_C4,0.001825698302127421
spectral_Fp2_entropy,0.0018047374906018376
band_abs_Fp1_alpha,0.0018035256071016192
band_abs_F8_theta,0.0017713198903948069
stat_Cz_var,0.0017710034735500813
band_abs_ECGECG_alpha,0.0017583838198333979
band_abs_Pz_theta,0.0017573729855939746
corr_P4_O1,0.0017118509858846664
corr_T5_Pz,0.0017080215038731694
hjorth_O1_mobility,0.0016966183902695775
corr_Fp2_Pz,0.0016943581867963076
global_band_rel_std_delta,0.0016931700520217419
corr_T6_O2,0.0016897054156288505
corr_Fp2_F7,0.0016648645978420973
band_rel_P3_delta,0.0016498990589752793
corr_T3_C4,0.0016315358225256205
band_rel_ECGECG_gamma,0.0016277078539133072
stat_Pz_std,0.0015925862826406956
stat_O2_shannon_entropy,0.0015869908966124058
corr_F4_C4,0.0015652277506887913
band_abs_T3_gamma,0.0015546901850029826
band_abs_T4_gamma,0.0015396338421851397
corr_T6_O1,0.0015279131475836039
corr_Fp2_F8,0.001485254499129951
band_abs_C4_delta,0.0014762450009584427
band_abs_T3_beta,0.0014647464267909527
band_rel_Fp1_gamma,0.0014588214689865708
corr_C4_A2A1,0.0014318418689072132
hjorth_Fp1_mobility,0.0014248985098674893
stat_Fp2_skew,0.0014016061322763562
hjorth_F4_complexity,0.0013726289616897702
corr_O1_A2A1,0.0013698156690225005
corr_C4_Cz,0.0013373428955674171
corr_Fp2_P3,0.001333835767582059
stat_Fp2_shannon_entropy,0.0013275914825499058
corr_T5_P3,0.0013242863351479173
ratio_ECGECG_beta_alpha,0.001316531328484416
corr_F3_P3,0.0012965415371581912
spectral_F8_entropy,0.001287116203457117
band_abs_Pz_gamma,0.0012711938470602036
stat_F8_shannon_entropy,0.0012490106746554375
corr_P3_O2,0.0012471057707443833
ratio_F8_theta_alpha,0.0012436152901500463
stat_F3_ptp,0.0012398023391142488
band_rel_T3_beta,0.0012397048994898796
stat_A2A1_kurtosis,0.0012368555180728436
band_abs_T3_delta,0.0012254921020939946
band_rel_F4_gamma,0.001224176143296063
region_frontal_band_rel_mean_beta,0.0012020374415442348
band_rel_F8_alpha,0.0011883073020726442
corr_T6_A2A1,0.0011814419412985444
corr_Fp1_T4,0.0011756866006180644
stat_C3_skew,0.0011730458354577422
band_rel_O2_beta,0.0011710909893736243
corr_C4_Fz,0.0011690568644553423
corr_Fp2_T5,0.001154922298155725
corr_O1_Fz,0.0011417976347729564
ratio_T5_beta_alpha,0.0011256893631070852
corr_P4_O2,0.0011190137593075633
band_abs_Fz_beta,0.0011133089428767562
band_abs_T4_beta,0.0010785743361338973
hjorth_F8_mobility,0.0010765527840703726
corr_Fp1_C3,0.0010631935438141227
ratio_T3_beta_alpha,0.0010492755100131035
stat_F4_skew,0.0010239232797175646
corr_T4_Cz,0.0010067541152238846
corr_Fp1_Fp2,0.001005984260700643
global_band_rel_mean_gamma,0.0009898353600874543
stat_Fp1_skew,0.0009806181769818068
corr_F4_F7,0.0009720600792206824
hjorth_T3_activity,0.0009346587467007339
stat_O1_shannon_entropy,0.0009272053139284253
hjorth_Fp1_activity,0.0009252704912796617
corr_F4_P4,0.0008968648035079241
stat_C4_shannon_entropy,0.0008685952634550631
stat_F7_kurtosis,0.0008640530286356807
band_rel_O2_theta,0.0008616260020062327
hemisphere_left_band_rel_mean_beta,0.0008487286977469921
hjorth_ECGECG_mobility,0.0008419461664743721
corr_F4_ECGECG,0.0008077199454419315
ratio_P4_beta_alpha,0.0007949675782583654
corr_T5_ECGECG,0.0007858442259021103
band_abs_F7_gamma,0.0007644185679964721
stat_A2A1_skew,0.0007366422796621919
corr_F8_T5,0.0007308162748813629
band_abs_C4_alpha,0.0007151279132813215
band_rel_T5_beta,0.0007148691220209002
corr_Fp2_T3,0.0007134624756872654
band_abs_P4_delta,0.0007078391499817371
corr_F3_T3,0.0007031113491393626
region_temporal_band_rel_mean_theta,0.0007001285557635128
stat_T3_skew,0.0006943162297829986
corr_P3_Fz,0.0006922350730746984
band_rel_Fz_gamma,0.0006827478064224124
stat_Cz_skew,0.0006768859457224607
band_abs_C3_theta,0.0006723367259837687
band_abs_Fz_gamma,0.0006328608142212033
corr_Fp2_A2A1,0.0006140241166576743
corr_F4_O2,0.0005824699182994664
band_rel_F8_gamma,0.0005659378948621452
corr_C3_O2,0.0005593327223323286
ratio_C3_beta_alpha,0.0005592950037680566
corr_O2_Fz,0.000555340782739222
stat_T5_mean,0.0005286042578518391
band_rel_F4_theta,0.0005278203752823174
corr_P3_ECGECG,0.000507091695908457
hjorth_F7_mobility,0.0004965430707670748
band_abs_T5_gamma,0.00047553301556035876
band_rel_F8_beta,0.0004686801403295249
corr_C3_C4,0.00046825892059132457
band_abs_Cz_delta,0.0004627933376468718
corr_Fp2_O2,0.00046150415437296033
band_abs_P4_theta,0.0004516750341281295
corr_T3_Pz,0.00043682611430995166
corr_T3_T4,0.00042832642793655396
stat_P3_kurtosis,0.00042595682316459715
corr_F4_C3,0.00042572073289193213
corr_F8_ECGECG,0.0004175289359409362
corr_T3_ECGECG,0.0004108820285182446
region_frontal_band_rel_mean_theta,0.00040627369889989495
corr_T3_Cz,0.000401957833673805
corr_Cz_A2A1,0.00039534896495752037
hjorth_C4_complexity,0.00038665957981720567
corr_T4_T5,0.00038542671245522797
hjorth_Cz_complexity,0.00034831848461180925
corr_T4_P4,0.00033933258964680135
corr_F4_Fz,0.0003136475570499897
corr_F7_T3,0.00031244134879671037
hjorth_Fz_mobility,0.00028104009106755257
ratio_Fp1_beta_alpha,0.0002752813452389091
band_rel_P3_theta,0.0002721240743994713
hjorth_Pz_mobility,0.0002719902840908617
corr_C4_P4,0.00026687237550504506
band_abs_ECGECG_theta,0.00026376391178928316
corr_C3_T5,0.0002622603497002274
band_rel_F7_beta,0.00024113524705171585
band_abs_F3_alpha,0.00023645241162739694
