n,TP,FP,FN,TN,accuracy,sensitivity,specificity,f1,roc_auc,pr_auc,brier,ece,feature_set,model,n_features,seconds
4266,612,667,468,2519,0.7339428035630567,0.5666666666666667,0.790646578782172,0.5188639253921153,0.795994774592546,0.5448079011697733,0.20462991969263897,0.18124893096041414,full_812_feature_table,svm_rbf,805,610.84
4266,741,885,339,2301,0.7130801687763713,0.6861111111111111,0.7222222222222222,0.5476718403547672,0.7719472925530678,0.5290106683120044,0.19604488505866832,0.16197781928946506,regional_hemispheric_summaries_only,logistic_regression,45,3.29
4266,682,799,398,2387,0.7194092827004219,0.6314814814814815,0.7492153170119272,0.5326044513861773,0.7625603043407501,0.465795491196074,0.24902705260581473,0.23914714485033617,full_812_feature_table,logistic_regression,805,23.38
4266,715,728,365,2458,0.7437880918893577,0.6620370370370371,0.7715003138731952,0.5667855727308759,0.7606185045685988,0.5966369392027476,0.18437790755264621,0.18648417042052967,SNWA_only,SNWA,8,0.0
4266,471,572,609,2614,0.723159868729489,0.4361111111111111,0.8204645323289391,0.4437117286858219,0.7568988165818047,0.418469974849954,0.1904025398097715,0.10399892480939031,full_812_feature_table,gradient_boosting,805,4017.63
4266,223,307,857,2879,0.7271448663853727,0.2064814814814815,0.9036409290646579,0.27701863354037265,0.7535158157215597,0.44797822068297233,0.16399600197947597,0.06692061259571808,spectral_absolute_bandpower_only,random_forest,115,25.51
4266,729,923,351,2263,0.7013595874355368,0.675,0.7102950408035154,0.5336749633967789,0.7522026342098533,0.4365742369908247,0.22007363000862015,0.16956399856753662,time_domain_morphology_only,logistic_regression,168,15.3
4266,197,215,883,2971,0.7426160337552743,0.1824074074074074,0.9325172630257376,0.2640750670241287,0.7519278498523634,0.45077995481033073,0.16408112270146377,0.04422761368963902,full_812_feature_table,random_forest,805,53.45
4266,442,554,638,2632,0.7205813408345054,0.40925925925925927,0.8261142498430634,0.4258188824662813,0.7511511590058357,0.41682681384887105,0.1787173912889119,0.09438295145984085,full_812_feature_table,xgboost,805,244.35
4266,488,483,592,2703,0.7480075011720582,0.45185185185185184,0.8483992467043314,0.4758654314968308,0.750811129711004,0.4814294596568857,0.17332851448665343,0.08029407706072376,spectral_absolute_bandpower_only,gradient_boosting,115,523.37
4266,400,335,680,2851,0.7620721987810596,0.37037037037037035,0.8948524795982423,0.44077134986225897,0.7483614656715724,0.488259517519132,0.1649679119741105,0.038836183614567775,relative_bandpower_only,xgboost,115,28.11
