n,TP,FP,FN,TN,accuracy,sensitivity,specificity,f1,roc_auc,pr_auc,brier,ece,subject_id,feature_set,model
120,22,0,8,90,0.9333333333333333,0.7333333333333333,1.0,0.8461538461538461,0.9948148148148148,0.9838308654877992,0.06276190160219691,0.07282428166154215,Subject00,full_812_feature_table,logistic_regression
120,18,8,12,82,0.8333333333333334,0.6,0.9111111111111111,0.6428571428571429,0.8259259259259257,0.7092223832257172,0.14192831070614903,0.1324448217842086,Subject01,full_812_feature_table,logistic_regression
120,30,88,0,2,0.26666666666666666,1.0,0.022222222222222223,0.40540540540540543,0.6796296296296296,0.360223105484118,0.7320302033896494,0.7326920395303952,Subject02,full_812_feature_table,logistic_regression
120,20,0,10,90,0.9166666666666666,0.6666666666666666,1.0,0.8,1.0,0.9999999999999999,0.07124598081719882,0.08711657323476822,Subject03,full_812_feature_table,logistic_regression
114,12,1,18,83,0.8333333333333334,0.4,0.9880952380952381,0.5581395348837209,0.9634920634920635,0.8888861859459221,0.15685715232476,0.17413633802744172,Subject04,full_812_feature_table,logistic_regression
120,25,57,5,33,0.48333333333333334,0.8333333333333334,0.36666666666666664,0.44642857142857145,0.7092592592592593,0.4657688856893485,0.42691111667224807,0.43344616265865177,Subject05,full_812_feature_table,logistic_regression
120,20,7,10,83,0.8583333333333333,0.6666666666666666,0.9222222222222223,0.7017543859649122,0.9081481481481481,0.7361714620849198,0.11725386750243881,0.09893237774545538,Subject06,full_812_feature_table,logistic_regression
120,30,34,0,56,0.7166666666666667,1.0,0.6222222222222222,0.6382978723404256,0.9388888888888889,0.8201594498498186,0.23073569280104225,0.27041911643743033,Subject07,full_812_feature_table,logistic_regression
120,13,60,17,30,0.35833333333333334,0.43333333333333335,0.3333333333333333,0.2524271844660194,0.3396296296296296,0.19277299790925972,0.5178684922650156,0.5131914055614634,Subject08,full_812_feature_table,logistic_regression
120,14,11,16,79,0.775,0.4666666666666667,0.8777777777777778,0.509090909090909,0.8340740740740741,0.5728336063805644,0.18623906698235296,0.18464037017963486,Subject09,full_812_feature_table,logistic_regression
123,10,1,20,92,0.8292682926829268,0.3333333333333333,0.989247311827957,0.4878048780487805,0.853763440860215,0.7204657282110976,0.15873797476793472,0.1634014938143943,Subject10,full_812_feature_table,logistic_regression
120,30,83,0,7,0.30833333333333335,1.0,0.07777777777777778,0.4195804195804196,0.767037037037037,0.47968632768329555,0.6712192758151517,0.6848855369145562,Subject11,full_812_feature_table,logistic_regression
120,29,44,1,46,0.625,0.9666666666666667,0.5111111111111111,0.5631067961165048,0.762962962962963,0.3879694240871937,0.33331439978309985,0.3572325234047118,Subject12,full_812_feature_table,logistic_regression
120,26,64,4,26,0.43333333333333335,0.8666666666666667,0.28888888888888886,0.43333333333333335,0.6051851851851853,0.30697698342156465,0.48979226201105536,0.5097728023425416,Subject13,full_812_feature_table,logistic_regression
120,22,29,8,61,0.6916666666666667,0.7333333333333333,0.6777777777777778,0.5432098765432098,0.7681481481481481,0.5305339215455703,0.26002701120521987,0.28222535764515366,Subject14,full_812_feature_table,logistic_regression
120,3,0,27,90,0.775,0.1,1.0,0.18181818181818182,0.9522222222222222,0.8805885184680957,0.22231330242931407,0.2256582906357963,Subject15,full_812_feature_table,logistic_regression
120,30,86,0,4,0.2833333333333333,1.0,0.044444444444444446,0.410958904109589,0.8162962962962963,0.6873789849693488,0.6589490964344499,0.6836180331755756,Subject16,full_812_feature_table,logistic_regression
120,15,11,15,79,0.7833333333333333,0.5,0.8777777777777778,0.5357142857142857,0.76,0.5369474454520657,0.19920155461746167,0.21173971825906626,Subject17,full_812_feature_table,logistic_regression
120,22,1,8,89,0.925,0.7333333333333333,0.9888888888888889,0.8301886792452831,0.9448148148148148,0.9048639258837834,0.06654341922925407,0.07286418476862422,Subject18,full_812_feature_table,logistic_regression
120,30,5,0,85,0.9583333333333334,1.0,0.9444444444444444,0.9230769230769231,0.9985185185185186,0.9958585858585858,0.0370564879319322,0.042840878169769336,Subject19,full_812_feature_table,logistic_regression
120,12,4,18,86,0.8166666666666667,0.4,0.9555555555555556,0.5217391304347826,0.851851851851852,0.6639527628288032,0.16144286290697588,0.15137118257654059,Subject20,full_812_feature_table,logistic_regression
120,16,14,14,76,0.7666666666666667,0.5333333333333333,0.8444444444444444,0.5333333333333333,0.8622222222222222,0.6049584506246029,0.16331774581422934,0.1513302149416681,Subject21,full_812_feature_table,logistic_regression
120,29,0,1,90,0.9916666666666667,0.9666666666666667,1.0,0.9830508474576272,1.0,0.9999999999999999,0.0035268161912688,0.011286066009085358,Subject22,full_812_feature_table,logistic_regression
