subject_id,m_s,train_probability,leakage_probability
Subject00,120,0.75,0.999999999999999
Subject01,120,0.75,0.999999999999999
Subject02,120,0.75,0.999999999999999
Subject03,120,0.75,0.999999999999999
Subject04,114,0.75,0.9999999999999943
Subject05,120,0.75,0.999999999999999
Subject06,120,0.75,0.999999999999999
Subject07,120,0.75,0.999999999999999
Subject08,120,0.75,0.999999999999999
Subject09,120,0.75,0.999999999999999
Subject10,123,0.75,0.9999999999999996
Subject11,120,0.75,0.999999999999999
Subject12,120,0.75,0.999999999999999
Subject13,120,0.75,0.999999999999999
Subject14,120,0.75,0.999999999999999
Subject15,120,0.75,0.999999999999999
Subject16,120,0.75,0.999999999999999
Subject17,120,0.75,0.999999999999999
Subject18,120,0.75,0.999999999999999
Subject19,120,0.75,0.999999999999999
Subject20,120,0.75,0.999999999999999
Subject21,120,0.75,0.999999999999999
Subject22,120,0.75,0.999999999999999
Subject23,120,0.75,0.999999999999999
Subject24,120,0.75,0.999999999999999
Subject25,120,0.75,0.999999999999999
Subject26,120,0.75,0.999999999999999
Subject27,120,0.75,0.999999999999999
Subject28,120,0.75,0.999999999999999
Subject29,120,0.75,0.999999999999999
Subject30,120,0.75,0.999999999999999
Subject31,69,0.75,0.999999997605432
Subject32,120,0.75,0.999999999999999
Subject33,120,0.75,0.999999999999999
Subject34,120,0.75,0.999999999999999
Subject35,120,0.75,0.999999999999999
