feature,family,region,folds_selected,mean_abs_dz
band_abs_Cz_beta,spectral_absolute_bandpower,central,36,1.0848931220438274
band_rel_O2_gamma,relative_bandpower,occipital,36,1.0780972273693044
band_abs_F4_alpha,spectral_absolute_bandpower,frontal,36,1.0292948343953823
band_rel_T6_gamma,relative_bandpower,temporal,36,1.026598011997134
stat_P3_ptp,time_domain_morphology,parietal,36,1.0201835532171255
region_occipital_band_rel_mean_gamma,regional_hemispheric_summaries,summary_or_other,36,1.015670810112727
band_rel_Pz_gamma,relative_bandpower,parietal,36,1.0085927812164182
region_parietal_band_rel_mean_gamma,regional_hemispheric_summaries,summary_or_other,36,0.9519590808078401
stat_O1_ptp,time_domain_morphology,occipital,36,0.9307141917737776
stat_O1_skew,time_domain_morphology,occipital,35,0.985000580190914
band_rel_O1_gamma,relative_bandpower,occipital,35,0.9657107451609467
ratio_Fp1_theta_alpha,band_ratios,frontal,34,0.9329465602428892
ratio_T5_beta_alpha,band_ratios,temporal,34,0.9092553670333421
band_abs_C4_beta,spectral_absolute_bandpower,central,33,0.9271965083120414
band_abs_F3_beta,spectral_absolute_bandpower,frontal,31,0.9289353421570915
hjorth_Cz_complexity,hjorth,central,31,0.9047880813372232
ratio_Fp2_theta_alpha,band_ratios,frontal,20,0.8759263402694663
band_rel_P4_gamma,relative_bandpower,parietal,17,0.8763876137546578
ratio_T6_beta_alpha,band_ratios,temporal,17,0.8756197775535575
stat_P3_rms,time_domain_morphology,parietal,15,0.8858724622337367
stat_P3_std,time_domain_morphology,parietal,9,0.910801288456959
stat_Cz_std,time_domain_morphology,central,8,0.8940413848546415
hemisphere_midline_band_rel_mean_gamma,regional_hemispheric_summaries,summary_or_other,8,0.8808833394673307
region_other_band_rel_mean_gamma,regional_hemispheric_summaries,summary_or_other,6,0.8776127505986812
stat_Cz_rms,time_domain_morphology,central,5,0.9086438119660505
band_abs_F4_beta,spectral_absolute_bandpower,frontal,3,0.9245438419035525
hjorth_Fz_complexity,hjorth,frontal,3,0.8770536397568826
band_rel_A2A1_gamma,relative_bandpower,summary_or_other,3,0.8632183925824312
hjorth_P3_activity,hjorth,parietal,2,1.0506371215331982
stat_P3_var,time_domain_morphology,parietal,2,1.0506371215331982
band_abs_Pz_beta,spectral_absolute_bandpower,parietal,2,1.0186087407273259
stat_Pz_ptp,time_domain_morphology,parietal,2,0.9516924699373086
hjorth_Cz_activity,hjorth,central,2,0.9495832305365517
stat_Cz_var,time_domain_morphology,central,2,0.9495832305365517
stat_T3_ptp,time_domain_morphology,temporal,2,0.9058950311611011
hjorth_T3_activity,hjorth,temporal,2,0.8980611011992836
stat_T3_var,time_domain_morphology,temporal,2,0.8980611011992836
band_abs_P3_beta,spectral_absolute_bandpower,parietal,2,0.8729769813978574
band_abs_C4_alpha,spectral_absolute_bandpower,central,1,1.4100048202240827
band_abs_C3_beta,spectral_absolute_bandpower,central,1,1.280836075687939
band_abs_Cz_alpha,spectral_absolute_bandpower,central,1,1.1427454370921666
band_abs_C3_alpha,spectral_absolute_bandpower,central,1,1.1062904951009356
stat_P4_ptp,time_domain_morphology,parietal,1,1.0249126058626443
stat_Cz_ptp,time_domain_morphology,central,1,1.0071729860068623
stat_O2_ptp,time_domain_morphology,occipital,1,0.9993471414340425
stat_P4_std,time_domain_morphology,parietal,1,0.9890706042233951
stat_P4_rms,time_domain_morphology,parietal,1,0.988255116946296
band_abs_P3_alpha,spectral_absolute_bandpower,parietal,1,0.986169032082896
stat_P4_var,time_domain_morphology,parietal,1,0.984705620226339
band_rel_ECGECG_alpha,relative_bandpower,summary_or_other,1,0.9602810911125228
hemisphere_midline_band_rel_mean_alpha,regional_hemispheric_summaries,summary_or_other,1,0.9382441225146343
hjorth_C4_activity,hjorth,central,1,0.9291962259932153
stat_C4_var,time_domain_morphology,central,1,0.9291962259932153
hemisphere_right_band_rel_mean_alpha,regional_hemispheric_summaries,summary_or_other,1,0.9286679812066044
band_abs_T3_alpha,spectral_absolute_bandpower,temporal,1,0.92344659720418
band_rel_F4_alpha,relative_bandpower,frontal,1,0.9211403724583299
global_band_rel_std_beta,relative_bandpower,summary_or_other,1,0.9175110259533683
stat_C4_std,time_domain_morphology,central,1,0.9008322832629775
band_rel_ECGECG_delta,relative_bandpower,summary_or_other,1,0.8994109466678244
band_abs_T4_alpha,spectral_absolute_bandpower,temporal,1,0.8921835223843664
band_abs_Fz_beta,spectral_absolute_bandpower,frontal,1,0.8858633204603729
ratio_P4_beta_alpha,band_ratios,parietal,1,0.8682837960039761
ratio_O1_beta_alpha,band_ratios,occipital,1,0.8668692069437484
region_temporal_band_rel_mean_gamma,regional_hemispheric_summaries,summary_or_other,1,0.8662666857041577
corr_T5_Cz,connectivity_correlation,temporal,1,0.8653635760899113
band_rel_P3_gamma,relative_bandpower,parietal,1,0.8489480272739458
global_band_rel_std_theta,relative_bandpower,summary_or_other,1,0.8468892947310459
