fold,heldout_subject,rank,feature,family,region,cohens_dz,paired_t_p
0,Subject00,1,band_abs_Cz_beta,spectral_absolute_bandpower,central,-1.0906585146164036,2.239975568189305e-07
0,Subject00,2,band_rel_O2_gamma,relative_bandpower,occipital,1.052666821422342,4.367433908254807e-07
0,Subject00,3,band_abs_F4_alpha,spectral_absolute_bandpower,frontal,-1.040433264356238,5.418278451898211e-07
0,Subject00,4,stat_P3_ptp,time_domain_morphology,parietal,-1.0402899136386692,5.431992790548697e-07
0,Subject00,5,band_rel_T6_gamma,relative_bandpower,temporal,1.01051883628432,9.188863617390927e-07
0,Subject00,6,stat_O1_skew,time_domain_morphology,occipital,-1.0083163229759484,9.553737714553544e-07
0,Subject00,7,region_occipital_band_rel_mean_gamma,regional_hemispheric_summaries,summary_or_other,0.9881910080929815,1.363994279658819e-06
0,Subject00,8,band_rel_Pz_gamma,relative_bandpower,parietal,0.9809467279784092,1.5506687738624053e-06
0,Subject00,9,stat_O1_ptp,time_domain_morphology,occipital,-0.9485235442542747,2.7544401848827624e-06
0,Subject00,10,band_rel_O1_gamma,relative_bandpower,occipital,0.9414831901575461,3.120598605938758e-06
0,Subject00,11,band_abs_F3_beta,spectral_absolute_bandpower,frontal,-0.937525623420037,3.3474128333373506e-06
0,Subject00,12,region_parietal_band_rel_mean_gamma,regional_hemispheric_summaries,summary_or_other,0.9244761166796067,4.218763933535014e-06
0,Subject00,13,band_abs_C4_beta,spectral_absolute_bandpower,central,-0.9153887682546327,4.956190794828329e-06
0,Subject00,14,ratio_Fp1_theta_alpha,band_ratios,frontal,0.9031336956651644,6.158550381035992e-06
0,Subject00,15,ratio_T5_beta_alpha,band_ratios,temporal,0.8840386913373136,8.637268540810735e-06
0,Subject00,16,hjorth_Cz_complexity,hjorth,central,0.8827355499276651,8.838867097521723e-06
0,Subject00,17,ratio_Fp2_theta_alpha,band_ratios,frontal,0.8628980731520802,1.2555355584468804e-05
0,Subject00,18,stat_P3_rms,time_domain_morphology,parietal,-0.8608804821194418,1.3011275874563151e-05
0,Subject00,19,stat_P3_std,time_domain_morphology,parietal,-0.8598284425678169,1.3255506115242365e-05
0,Subject00,20,stat_Cz_std,time_domain_morphology,central,-0.8510742423780966,1.547293364249814e-05
1,Subject01,1,band_abs_Pz_beta,spectral_absolute_bandpower,parietal,-1.1411003856680342,9.278577895601646e-08
1,Subject01,2,stat_P3_ptp,time_domain_morphology,parietal,-1.096111401919756,2.035792841156361e-07
1,Subject01,3,band_rel_O2_gamma,relative_bandpower,occipital,1.0903600834964375,2.2517279809454546e-07
1,Subject01,4,stat_O1_ptp,time_domain_morphology,occipital,-1.0877959961725574,2.3552979087105557e-07
1,Subject01,5,band_abs_Cz_beta,spectral_absolute_bandpower,central,-1.0668481540770431,3.40277321642342e-07
1,Subject01,6,band_abs_F4_alpha,spectral_absolute_bandpower,frontal,-1.0341709808749795,6.051113647001546e-07
1,Subject01,7,stat_P4_ptp,time_domain_morphology,parietal,-1.0249126058626443,7.125428572272227e-07
1,Subject01,8,region_occipital_band_rel_mean_gamma,regional_hemispheric_summaries,summary_or_other,1.0246039370735565,7.164373939694089e-07
1,Subject01,9,stat_P3_var,time_domain_morphology,parietal,-1.005093973050628,1.011393283925986e-06
1,Subject01,10,hjorth_P3_activity,hjorth,parietal,-1.005093973050628,1.011393283925986e-06
1,Subject01,11,band_rel_T6_gamma,relative_bandpower,temporal,1.0030444523206132,1.0487273777316312e-06
1,Subject01,12,band_rel_Pz_gamma,relative_bandpower,parietal,1.0027534471837878,1.054139318404e-06
1,Subject01,13,stat_Pz_ptp,time_domain_morphology,parietal,-1.002474287769924,1.0593573005000631e-06
1,Subject01,14,stat_P3_rms,time_domain_morphology,parietal,-1.0022632834681862,1.0633185391406397e-06
1,Subject01,15,stat_P3_std,time_domain_morphology,parietal,-1.0012669525260387,1.0822246864536704e-06
1,Subject01,16,stat_O2_ptp,time_domain_morphology,occipital,-0.9993471414340425,1.1196112267635764e-06
1,Subject01,17,region_parietal_band_rel_mean_gamma,regional_hemispheric_summaries,summary_or_other,0.9929984950867534,1.2527252428848845e-06
1,Subject01,18,stat_P4_std,time_domain_morphology,parietal,-0.9890706042233951,1.3429198352534322e-06
1,Subject01,19,stat_P4_rms,time_domain_morphology,parietal,-0.988255116946296,1.3624471361943784e-06
