subject_id,auc_no_ica,auc_ica,difference,improved
Subject 00,0.9948,0.9963,0.0015,True
Subject 01,0.8259,0.8426,0.0167,True
Subject 02,0.6796,0.6681,-0.0115,False
Subject 03,1.0,0.9993,-0.0007,False
Subject 04,0.9635,0.948,-0.0155,False
Subject 05,0.7078,0.6656,-0.0422,False
Subject 06,0.9081,0.8763,-0.0319,False
Subject 07,0.9389,0.9267,-0.0122,False
Subject 08,0.3396,0.3411,0.0015,True
Subject 09,0.8341,0.817,-0.017,False
Subject 10,0.8538,0.9398,0.086,True
Subject 11,0.767,0.7,-0.067,False
Subject 12,0.763,0.8011,0.0381,True
Subject 13,0.6052,0.6581,0.053,True
Subject 14,0.7681,0.4904,-0.2778,False
Subject 15,0.9522,0.9426,-0.0096,False
Subject 16,0.8163,0.8574,0.0411,True
Subject 17,0.7596,0.8152,0.0556,True
Subject 18,0.9448,0.8915,-0.0533,False
Subject 19,0.9985,0.9941,-0.0044,False
Subject 20,0.8519,0.9133,0.0615,True
Subject 21,0.8622,0.8463,-0.0159,False
Subject 22,1.0,1.0,0.0,False
Subject 23,0.9593,0.9685,0.0093,True
Subject 24,0.9326,0.9119,-0.0207,False
Subject 25,0.9219,0.8974,-0.0245,False
Subject 26,0.9315,0.9419,0.0104,True
Subject 27,0.9022,0.6822,-0.22,False
Subject 28,1.0,1.0,0.0,False
Subject 29,0.9407,0.9633,0.0226,True
Subject 30,0.8911,0.8948,0.0037,True
Subject 31,0.3889,0.4641,0.0752,True
Subject 32,0.7533,0.7889,0.0356,True
Subject 33,0.6819,0.6459,-0.0359,False
Subject 34,0.82,0.7881,-0.0319,False
Subject 35,0.5493,0.3233,-0.2259,False
