channel,rest_mean,work_mean,mean_diff,t_stat,p_value,cohen_d,n_subjects,p_fdr
EEG Fp2,1.4948208419533033,1.813114165529853,0.3182933235765496,4.5771720534620535,5.713087334617268e-05,0.762862008727505,36,0.0005713087334617268
EEG Fp1,1.4100557685719124,1.7222153991693911,0.31215963059747887,3.800467324286457,0.0005537377487361448,0.6334112205858824,36,0.002768688743680724
EEG F7,1.2993348506011577,1.4858266611577688,0.1864918105566113,3.344310723744861,0.0019769041636425143,0.5573851204575527,36,0.006589680545475048
EEG F8,1.3849477959124714,1.580731555580574,0.1957837596681028,2.5540715175046143,0.015157236280212805,0.4256785861582167,36,0.03131352678752556
EEG F3,1.2846110617907638,1.379140683754506,0.0945296219637422,2.5406047815795327,0.01565676339376278,0.42343413007358316,36,0.03131352678752556
EEG Fz,1.2965678049458427,1.3718088614456856,0.0752410564998428,2.1223092993383568,0.0409621749372875,0.35371821639010514,36,0.06827029156214584
EEG F4,1.3440608907527265,1.408267216889855,0.06420632613712829,1.3239572270754363,0.19409941705834174,0.2206595377700714,36,0.27728488151191677
EEG C4,1.2945682403591112,1.330202582456148,0.035634342097036614,0.8717253671960506,0.3892989391501171,0.14528756114010544,36,0.4866236739376464
EEG C3,1.2744881436784705,1.289654416234418,0.015166272555947345,0.47535275210227834,0.6374888836302959,0.0792254586423273,36,0.7083209818114399
EEG Cz,1.3320481653430731,1.3302446754207498,-0.0018034899223232032,-0.054653061499221035,0.9567256507922307,-0.009108843578602924,36,0.9567256507922307
