channel,rest_mean,work_mean,mean_diff,t_stat,p_value,cohen_d,n_subjects,n_windows_rest,n_windows_work,p_fdr
EEG C3,0.001467426406890201,0.0017735414433171534,0.0003061150364269524,5.315042103459787,6.179550723861141e-06,0.8858400942308766,36,3134,1080,6.179550723861141e-05
EEG Cz,0.0014556561199110096,0.0017673420226079588,0.000311685902696949,4.5930823443508695,5.4481572948972855e-05,0.765513536045125,36,3134,1080,0.0001927590716023575
EEG F4,0.0014336464275914666,0.0017145563194623835,0.0002809098918709169,4.573108128470849,5.782772148070725e-05,0.762184481277163,36,3134,1080,0.0001927590716023575
EEG F8,0.0014371010021270976,0.0016362234552304165,0.000199122453103319,4.07668976463916,0.00024993428134721164,0.6794480622643514,36,3134,1080,0.0006248357033680291
EEG Fp1,0.0014900541426046934,0.0016777127297277416,0.00018765858712304804,3.8776978369292086,0.0004440454168418484,0.646282750246302,36,3134,1080,0.0008736416052199804
EEG F7,0.0014955911140453065,0.0016800761514098588,0.00018448503736455217,3.787224454497361,0.0005750215453008311,0.6312038597870872,36,3134,1080,0.0008736416052199804
EEG Fp2,0.001461028296258089,0.001682703826883169,0.00022167553062508002,3.765568334880394,0.0006115491236539863,0.62759454479919,36,3134,1080,0.0008736416052199804
EEG C4,0.0014798759387255628,0.0017082162976391527,0.0002283403589135905,3.4792281152513147,0.0013651137968306256,0.5798712052833364,36,3134,1080,0.001706392246038282
EEG Fz,0.0014558222900199038,0.0016330964884813419,0.00017727419846143836,3.4225467303633184,0.0015959696294065816,0.5704242715121535,36,3134,1080,0.001773299588229535
EEG F3,0.0014567993761369935,0.0016236119806150627,0.00016681260447806929,2.76456930094657,0.009032029793905869,0.4607614228885136,36,3134,1080,0.009032029793905869
