channel,rest_mi_mean,work_mi_mean,mean_diff,t_stat,p_value,wilcoxon_stat,wilcoxon_p,cohen_d,n_subjects,rest_sig_proportion,work_sig_proportion,rest_mean_z,work_mean_z,p_fdr,wilcoxon_fdr
EEG Cz,0.0015922175737654533,0.0019951545577628045,0.00040293698399735105,1.7863420297376693,0.08270956902190793,207.0,0.047779093438293785,0.2977236716227249,36,0.8333333333333334,0.7222222222222222,34.97895673586882,14.45833250999615,0.5963831338049357,0.23889546719146892
EEG C3,0.0020997280247190917,0.0024381988918172988,0.0003384708670982071,1.4124753017379101,0.16664072514863232,258.0,0.24508141286787577,0.23541255028948796,36,0.8888888888888888,0.7777777777777778,44.38060796409534,15.461002959623992,0.5963831338049357,0.6127035321696894
EEG Fp1,0.0008328300269785908,0.0006826871489549334,-0.0001501428780236574,-1.2708648874946307,0.21215894254778261,326.0,0.9196639081637841,-0.21181081458213966,36,0.7222222222222222,0.4444444444444444,21.11574253930431,6.199066102681856,0.5963831338049357,0.9814318742428441
EEG F4,0.0014245407499589276,0.001602485949634291,0.00017794519967536323,1.199077171834346,0.2385532535219743,246.0,0.1762826904305257,0.19984619530549988,36,0.75,0.7222222222222222,33.842146880767324,12.242960922318634,0.5963831338049357,0.5876089681017523
EEG Fz,0.001530189486005406,0.0017606161778595743,0.00023042669185416786,0.9588532593681033,0.34420992696972885,331.0,0.9814318742428441,0.15980887656123968,36,0.7777777777777778,0.6666666666666666,33.46613255581698,12.355094096990415,0.6456586291016614,0.9814318742428441
EEG F7,0.0011369839949512107,0.0009962011550776568,-0.00014078283987355362,-0.8752682737227864,0.38739517746099683,314.0,0.7740053430898115,-0.14587804562031326,36,0.6944444444444444,0.5555555555555556,27.925006726210796,8.824387258192125,0.6456586291016614,0.9675066788622644
EEG C4,0.0019842769881798176,0.002175269017923007,0.0001909920297431891,0.7562435815601417,0.45456349346513164,297.0,0.5812918253068347,0.1260405969266071,36,0.8888888888888888,0.75,44.58017779498659,16.584276714191915,0.6493764192359024,0.8304168932954781
EEG F8,0.0009616676310100249,0.0009106840779949695,-5.098355301505521e-05,-0.29483568672750377,0.7698612269794406,282.0,0.4321394343569409,-0.04913928112120326,36,0.6944444444444444,0.7777777777777778,22.454686704738013,7.689352510788082,0.9480528143787049,0.8304168932954781
EEG F3,0.001673231511530908,0.0017155958062566273,4.23642947257191e-05,0.18634831181727757,0.8532475329408344,297.0,0.5812918253068347,0.03105805196952349,36,0.8611111111111112,0.7222222222222222,40.249714240600596,13.409558866439513,0.9480528143787049,0.8304168932954781
EEG Fp2,0.0005869448325282151,0.0005900364856974459,3.091653169230765e-06,0.03995512575186199,0.968355951422034,201.0,0.03775702390703373,0.006659187625295987,36,0.5833333333333334,0.5555555555555556,15.10734020244221,4.946151152905032,0.968355951422034,0.23889546719146892
