model,subject,auc
external_logistic_full_overlap_features,sub-001,0.67
external_logistic_full_overlap_features,sub-003,0.51
external_logistic_full_overlap_features,sub-004,0.39
external_logistic_full_overlap_features,sub-005,0.55
external_logistic_full_overlap_features,sub-006,0.6599999999999999
external_logistic_full_overlap_features,sub-007,0.35000000000000003
external_logistic_full_overlap_features,sub-008,0.7300000000000001
external_logistic_full_overlap_features,sub-009,0.6
external_logistic_full_overlap_features,sub-010,0.4100000000000001
external_logistic_full_overlap_features,sub-011,0.55
external_logistic_full_overlap_features,sub-012,0.6600000000000001
external_logistic_full_overlap_features,sub-013,0.6
external_logistic_full_overlap_features,sub-014,0.6
external_logistic_full_overlap_features,sub-015,0.54
external_logistic_full_overlap_features,sub-016,0.35
external_logistic_full_overlap_features,sub-018,0.5800000000000001
external_logistic_full_overlap_features,sub-019,0.45999999999999996
external_logistic_full_overlap_features,sub-020,0.8
external_SNWA_K3,sub-001,0.86
external_SNWA_K3,sub-003,0.49
external_SNWA_K3,sub-004,0.72
external_SNWA_K3,sub-005,0.55
external_SNWA_K3,sub-006,0.32999999999999996
external_SNWA_K3,sub-007,0.61
external_SNWA_K3,sub-008,0.72
external_SNWA_K3,sub-009,0.35
external_SNWA_K3,sub-010,0.41000000000000003
external_SNWA_K3,sub-011,0.57
external_SNWA_K3,sub-012,0.75
external_SNWA_K3,sub-013,0.69
external_SNWA_K3,sub-014,0.7
external_SNWA_K3,sub-015,0.6
external_SNWA_K3,sub-016,0.63
external_SNWA_K3,sub-018,0.54
external_SNWA_K3,sub-019,0.4099999999999999
external_SNWA_K3,sub-020,0.74
external_SNWA_K5,sub-001,0.8200000000000001
external_SNWA_K5,sub-003,0.56
external_SNWA_K5,sub-004,0.7000000000000001
external_SNWA_K5,sub-005,0.5099999999999999
external_SNWA_K5,sub-006,0.31999999999999995
external_SNWA_K5,sub-007,0.53
external_SNWA_K5,sub-008,0.8200000000000001
external_SNWA_K5,sub-009,0.36
external_SNWA_K5,sub-010,0.39
external_SNWA_K5,sub-011,0.6299999999999999
external_SNWA_K5,sub-012,0.8
external_SNWA_K5,sub-013,0.73
external_SNWA_K5,sub-014,0.72
external_SNWA_K5,sub-015,0.72
external_SNWA_K5,sub-016,0.59
external_SNWA_K5,sub-018,0.58
external_SNWA_K5,sub-019,0.6
external_SNWA_K5,sub-020,0.74
external_SNWA_K8,sub-001,0.81
external_SNWA_K8,sub-003,0.55
external_SNWA_K8,sub-004,0.72
external_SNWA_K8,sub-005,0.5100000000000001
external_SNWA_K8,sub-006,0.35
external_SNWA_K8,sub-007,0.53
external_SNWA_K8,sub-008,0.75
external_SNWA_K8,sub-009,0.41000000000000003
external_SNWA_K8,sub-010,0.41000000000000003
external_SNWA_K8,sub-011,0.64
external_SNWA_K8,sub-012,0.75
external_SNWA_K8,sub-013,0.6900000000000001
external_SNWA_K8,sub-014,0.65
external_SNWA_K8,sub-015,0.7100000000000001
external_SNWA_K8,sub-016,0.59
external_SNWA_K8,sub-018,0.52
external_SNWA_K8,sub-019,0.6600000000000001
external_SNWA_K8,sub-020,0.79
external_SNWA_K12,sub-001,0.74
external_SNWA_K12,sub-003,0.55
external_SNWA_K12,sub-004,0.74
external_SNWA_K12,sub-005,0.51
external_SNWA_K12,sub-006,0.25
external_SNWA_K12,sub-007,0.5700000000000001
external_SNWA_K12,sub-008,0.75
external_SNWA_K12,sub-009,0.42000000000000004
external_SNWA_K12,sub-010,0.42999999999999994
external_SNWA_K12,sub-011,0.7000000000000002
external_SNWA_K12,sub-012,0.8
external_SNWA_K12,sub-013,0.7200000000000001
external_SNWA_K12,sub-014,0.6799999999999999
external_SNWA_K12,sub-015,0.72
external_SNWA_K12,sub-016,0.66
external_SNWA_K12,sub-018,0.53
external_SNWA_K12,sub-019,0.5499999999999999
external_SNWA_K12,sub-020,0.79
external_SNWA_K20,sub-001,0.75
external_SNWA_K20,sub-003,0.54
external_SNWA_K20,sub-004,0.69
external_SNWA_K20,sub-005,0.49
external_SNWA_K20,sub-006,0.27
external_SNWA_K20,sub-007,0.5
external_SNWA_K20,sub-008,0.7100000000000001
external_SNWA_K20,sub-009,0.37
external_SNWA_K20,sub-010,0.45
external_SNWA_K20,sub-011,0.71
external_SNWA_K20,sub-012,0.72
external_SNWA_K20,sub-013,0.7200000000000001
external_SNWA_K20,sub-014,0.72
external_SNWA_K20,sub-015,0.6799999999999999
external_SNWA_K20,sub-016,0.5800000000000001
external_SNWA_K20,sub-018,0.49
external_SNWA_K20,sub-019,0.48
external_SNWA_K20,sub-020,0.76
