,0
stat_Fp1_std,inf
stat_Fp1_var,inf
stat_Fp1_rms,inf
hjorth_Fp1_activity,inf
stat_Fp2_rms,inf
hjorth_Fp2_activity,inf
stat_Fp2_var,inf
stat_Fp2_std,inf
stat_F3_var,inf
stat_F3_rms,inf
hjorth_F3_activity,inf
stat_F3_std,inf
hjorth_F4_activity,inf
stat_F4_rms,inf
stat_F4_var,inf
stat_F4_std,inf
band_rel_Fp1_delta,263.5259338300263
band_rel_Fp2_delta,223.74881085781522
band_rel_F3_delta,155.58931324255144
band_rel_F4_delta,130.97499517001444
band_rel_F3_alpha,125.35708169898459
band_rel_Fp1_alpha,118.96047229265538
band_rel_F4_alpha,110.25881736625115
band_rel_Fp2_alpha,102.62648800787512
stat_Fp2_ptp,85.53253024901127
stat_F3_ptp,83.92553965111118
stat_Fp1_ptp,82.24985702159087
stat_F4_ptp,77.79409690365284
band_rel_Fp1_beta,58.48779351919036
band_rel_F3_theta,50.17727018769573
hjorth_Fp1_mobility,45.917235974988515
band_rel_F4_theta,43.28715967916216
band_rel_F3_beta,40.46848848486801
band_rel_Fp1_theta,39.9870378256823
band_rel_F4_beta,38.59813797952841
hjorth_Fp2_mobility,37.29575944606202
band_rel_Fp2_theta,34.97214311600852
band_abs_Fp1_beta,33.324473806999045
hjorth_F3_mobility,33.081048164938046
hjorth_F4_mobility,32.73908286047002
band_rel_Fp2_beta,31.683018296956405
band_rel_Fp1_gamma,30.322826570452744
band_abs_Fp1_gamma,27.172802101627347
band_abs_Fp2_delta,26.124590350431806
band_abs_F3_alpha,25.13072252604343
band_abs_Fp1_delta,24.97824147021869
band_abs_F4_delta,23.958462202206952
band_abs_F3_beta,23.699964378201706
band_abs_F3_delta,22.232934307750515
band_abs_F4_theta,22.220384433521087
hjorth_Fp1_complexity,21.557429475332683
hjorth_F3_complexity,20.494443764121556
band_abs_F4_alpha,20.294464690407292
band_rel_F3_gamma,20.00411066412517
band_abs_F4_beta,19.94141866410868
stat_F4_shannon_entropy,19.48937796614655
hjorth_F4_complexity,19.336923926818
hjorth_Fp2_complexity,19.03571927620466
band_rel_F4_gamma,18.368027086915117
spectral_Fp1_entropy,18.070292449819437
band_abs_F3_theta,18.029862293055412
spectral_Fp2_entropy,17.43839110967248
stat_F3_shannon_entropy,16.21688258170235
ratio_F3_theta_beta,16.016190682424764
band_abs_Fp2_beta,15.761817774424157
ratio_F4_theta_beta,15.507776410045928
ratio_F3_theta_alpha,14.46736364633144
band_abs_F4_gamma,13.743196968760815
band_abs_Fp1_alpha,13.72272899389786
band_rel_Fp2_gamma,13.681466674149933
ratio_F4_theta_alpha,13.193070916593658
stat_Fp1_shannon_entropy,13.14084077849673
spectral_F3_entropy,12.940855884247831
band_abs_Fp1_theta,12.713889326625756
stat_Fp2_shannon_entropy,12.130206848834273
band_abs_Fp2_theta,11.984292004413392
ratio_F4_beta_alpha,11.782587029448793
ratio_F3_beta_alpha,11.748027909574931
spectral_F4_entropy,11.521324920873118
band_abs_F3_gamma,11.377509327969776
band_abs_Fp2_alpha,11.135345109510348
ratio_Fp1_theta_beta,10.350878163708655
ratio_Fp2_theta_beta,10.247885196051259
ratio_Fp1_theta_alpha,10.24075091778454
ratio_Fp2_theta_alpha,9.187584723438805
ratio_Fp2_beta_alpha,7.7873401075223905
ratio_Fp1_beta_alpha,7.636853754217562
band_abs_Fp2_gamma,6.713345308409758
stat_F4_kurtosis,4.998752129284182
stat_Fp2_kurtosis,4.732003319661581
stat_F3_kurtosis,3.6385821980644546
stat_Fp1_kurtosis,3.5610529500550823
stat_F4_mean,2.1686812115733822
stat_F3_mean,2.0419895525536966
stat_Fp2_skew,1.7274684010558679
stat_F3_skew,1.7117647940178604
stat_F4_skew,1.6316042026349522
stat_Fp2_mean,1.6186429077564055
stat_Fp1_skew,1.580737639025963
stat_Fp1_mean,1.4798696990858338
