feature,mutual_information
band_abs_Fp1_gamma,0.07623717500802729
stat_Fp1_ptp,0.07476064286275719
stat_P4_ptp,0.07415940415415534
stat_O2_ptp,0.07064487081205306
stat_Fp2_ptp,0.07027045001821497
band_rel_ECGECG_beta,0.06545523664162012
stat_Pz_ptp,0.0646692190465763
stat_O1_ptp,0.06135683847330031
band_rel_ECGECG_alpha,0.05932016368709414
stat_Cz_ptp,0.0581875180158542
stat_ECGECG_ptp,0.05546095465150214
stat_A2A1_ptp,0.053725789137490265
stat_T4_ptp,0.05296889339414301
stat_T5_ptp,0.052622757237729356
band_abs_Pz_alpha,0.05189403309607865
stat_T3_ptp,0.05126030158825978
stat_F3_ptp,0.050343087311286006
stat_P3_ptp,0.050287846700354466
stat_F8_ptp,0.04989111430847326
global_band_abs_std_alpha,0.049768334218837085
stat_C4_ptp,0.04767414488363131
stat_Fz_ptp,0.04710812437146794
hjorth_Fp1_activity,0.04589553203661567
stat_Fp1_var,0.04589553203661567
stat_Fp1_std,0.04576660696287993
band_rel_P4_gamma,0.04556334550055907
stat_O2_var,0.04438849040247872
hjorth_O2_activity,0.04438849040247872
stat_O2_std,0.044360134483299785
band_abs_ECGECG_gamma,0.04401440402409751
region_frontal_band_rel_mean_alpha,0.04378222544711363
band_rel_T6_gamma,0.04281152624814211
stat_Fp1_rms,0.042775862290520994
stat_F7_ptp,0.04249845893083637
hemisphere_left_band_rel_mean_gamma,0.04179346432757769
stat_T6_ptp,0.04154740433210802
global_band_rel_mean_gamma,0.041385013942158544
band_abs_ECGECG_beta,0.04040354765158516
global_band_abs_mean_beta,0.040213699090596355
stat_ECGECG_skew,0.0390871838505662
band_abs_A2A1_gamma,0.03880169071911577
global_band_abs_std_beta,0.03833570900258354
stat_F4_ptp,0.03819865996301108
stat_O2_rms,0.03812464530983117
hjorth_A2A1_mobility,0.03810436789123761
hjorth_P3_complexity,0.03803325504192778
region_temporal_band_rel_mean_gamma,0.037716086445408914
hjorth_F3_complexity,0.03744525323686898
ratio_O2_beta_alpha,0.03744008408013033
band_rel_T3_gamma,0.0374275235503263
hjorth_Pz_complexity,0.03711142119502964
band_rel_F3_alpha,0.03694584428447434
band_abs_A2A1_beta,0.03679712146271963
band_abs_ECGECG_alpha,0.03658002644923619
corr_T4_C4,0.03653853213640268
hjorth_F4_complexity,0.0362779147972907
global_band_abs_std_gamma,0.03613294725160476
band_rel_T5_gamma,0.03604250993187286
ratio_Pz_beta_alpha,0.03555460745409644
band_rel_Pz_gamma,0.035279815225233824
band_rel_ECGECG_delta,0.03510677522376371
stat_O1_std,0.034674736180950294
stat_O1_var,0.034607773376259754
hjorth_O1_activity,0.034607773376259754
stat_C3_ptp,0.03423854675032434
band_abs_ECGECG_theta,0.03391924053967532
region_other_band_rel_mean_gamma,0.03387394095838969
stat_O1_rms,0.033866313709696394
hemisphere_right_band_rel_mean_alpha,0.03377520976302506
hjorth_ECGECG_complexity,0.03360996956785001
corr_T5_A2A1,0.0335940963356256
band_rel_F4_alpha,0.03337115876349661
band_rel_A2A1_gamma,0.033165312506969746
band_rel_Fp2_alpha,0.032789355209672744
band_abs_Fp1_delta,0.03276029077758258
band_rel_O1_gamma,0.0324842147288269
band_abs_Cz_alpha,0.031939383171271096
band_abs_O1_alpha,0.03187965625965905
stat_ECGECG_kurtosis,0.03138591874128838
band_abs_Fp2_gamma,0.031368011533305484
band_abs_O2_alpha,0.03125470893641458
corr_Fp2_F8,0.03124195653976858
hemisphere_left_band_rel_mean_alpha,0.031200638029157624
band_rel_T4_gamma,0.031104919915605267
corr_Fp1_T6,0.03078473836064921
corr_F8_Fz,0.030691534995665792
spectral_A2A1_entropy,0.03060620159370897
corr_F4_F8,0.03032652487429055
global_band_abs_mean_theta,0.030243468558525777
hjorth_P4_complexity,0.030221740816922527
band_abs_Pz_theta,0.03002337814530831
hjorth_Cz_complexity,0.030006408941462892
global_band_abs_mean_alpha,0.029853837597132893
band_rel_Pz_alpha,0.029272403183572493
connectivity_corr_std,0.029257369824689183
hjorth_O1_complexity,0.029239489972421318
ratio_O1_beta_alpha,0.029231104761298532
global_band_rel_mean_delta,0.029041440694023368
band_abs_P3_alpha,0.028841768638150578
global_band_rel_mean_alpha,0.02882782915566584
band_abs_C4_alpha,0.02871607929896891
ratio_Pz_theta_alpha,0.028646422798541238
band_rel_T6_alpha,0.02849184747682476
hemisphere_midline_band_rel_mean_gamma,0.028111485488823584
global_band_rel_std_beta,0.028075125314964255
ratio_F8_theta_alpha,0.028001329441693645
spectral_Fp2_entropy,0.02774952288435939
hjorth_ECGECG_mobility,0.027628620686188876
global_band_abs_std_theta,0.02757211631481482
corr_P3_O1,0.02751565426150937
stat_Cz_std,0.02750319037811666
stat_Cz_var,0.02733967632953549
hjorth_Cz_activity,0.02733967632953549
hemisphere_right_band_rel_mean_gamma,0.027255984116447918
corr_Fp1_A2A1,0.027151940489013704
region_other_band_rel_mean_beta,0.027070792253234277
global_band_rel_std_gamma,0.02686219038050708
corr_P3_Pz,0.02679947456877918
corr_Fp1_F4,0.026771343878290832
ratio_T5_theta_alpha,0.026692270386318162
band_abs_C4_beta,0.026647499664895102
stat_ECGECG_std,0.026566319433616536
region_occipital_band_rel_mean_gamma,0.026561006896945072
corr_O1_Cz,0.026524379855456637
hjorth_ECGECG_activity,0.026497245510453737
stat_ECGECG_var,0.026497245510453737
hjorth_T5_mobility,0.02635779879533784
band_rel_P3_gamma,0.026115955563725146
hemisphere_right_band_rel_mean_delta,0.026083330562438167
hjorth_T4_mobility,0.02565749098777781
spectral_ECGECG_entropy,0.0254948503372201
band_abs_P4_alpha,0.025488668757105204
hemisphere_midline_band_rel_mean_alpha,0.025443388721638982
corr_Fp1_F8,0.025366213924609138
band_rel_O2_beta,0.02534924728909993
global_band_rel_std_theta,0.02531807241881756
stat_P4_std,0.025238377929917455
stat_P4_var,0.025168316740044938
hjorth_P4_activity,0.025168316740044938
hjorth_Fz_complexity,0.025166515447462956
band_abs_F7_gamma,0.025156541749103534
region_parietal_band_rel_mean_gamma,0.02508558697234342
stat_Cz_rms,0.025076600109279257
ratio_ECGECG_theta_beta,0.025006102356476045
region_frontal_band_rel_mean_delta,0.024814075220880083
stat_C3_rms,0.024695688995693743
band_abs_T5_alpha,0.02464402804778243
global_band_rel_std_delta,0.024546528799502143
stat_Fp2_rms,0.024329115762834475
band_rel_P3_delta,0.024312176198726165
band_rel_F4_gamma,0.024259144752852846
ratio_Fp1_theta_alpha,0.02412631075388938
band_abs_T4_gamma,0.02394417871664123
stat_ECGECG_rms,0.023821013183110917
band_rel_F8_beta,0.02373849607362999
band_rel_O1_alpha,0.02373074850898127
band_rel_F8_alpha,0.023681844317736678
band_rel_Fp1_alpha,0.023677272410278727
band_rel_Cz_gamma,0.023581561303040344
band_abs_Fz_alpha,0.023580951588532573
band_rel_Fz_theta,0.023535154430443406
band_rel_P3_alpha,0.023522472732004918
band_abs_T3_alpha,0.02346404698895843
ratio_P4_beta_alpha,0.023374927752018104
band_rel_F8_delta,0.023327670341831697
band_rel_P4_delta,0.023064437757065903
ratio_O2_theta_alpha,0.02305679797636273
band_rel_T5_delta,0.022990518778200242
corr_F7_F8,0.02298449093845467
region_temporal_band_rel_mean_alpha,0.022750109656613837
band_abs_T6_alpha,0.02267120643557874
region_central_band_rel_mean_gamma,0.02266453632636467
band_abs_F3_alpha,0.02266156085556692
band_abs_F4_alpha,0.02262548043796575
corr_F8_A2A1,0.02248010961355451
ratio_F3_theta_alpha,0.022456160714235063
band_abs_Fp1_theta,0.022173761516012025
band_abs_Fp2_theta,0.02217042434125882
ratio_Fz_theta_alpha,0.022078775317107002
hjorth_T6_mobility,0.021917360125718988
corr_F7_O2,0.021870930101981267
corr_A2A1_ECGECG,0.021654243879435153
hjorth_Fp2_mobility,0.021650326133675124
corr_Fp2_P3,0.02161141669563449
hjorth_Fp1_mobility,0.02159866400973587
stat_T3_rms,0.02158769336876154
hjorth_T3_mobility,0.021560077183588433
stat_F8_skew,0.021238315240798666
band_rel_O2_gamma,0.021233778563142458
band_rel_Fp1_beta,0.021158455100814377
hjorth_Fz_mobility,0.02106753038787934
band_abs_F3_beta,0.020963275381479463
hjorth_F8_complexity,0.020940391352594068
corr_P4_A2A1,0.020719530094431393
hjorth_T3_activity,0.020610790277342472
stat_T3_var,0.020610790277342472
band_rel_C3_delta,0.020595170979018196
region_occipital_band_rel_mean_alpha,0.020565126393472966
band_abs_C3_beta,0.02052034782176393
stat_T3_std,0.020514890986285117
global_band_abs_mean_gamma,0.020455709638419473
ratio_O1_theta_alpha,0.02038436441742908
band_rel_ECGECG_theta,0.02033274156680287
corr_F4_O1,0.020309218758964853
band_rel_T5_alpha,0.020209119189116054
band_rel_F3_gamma,0.02015930266795607
band_abs_Fp2_delta,0.02014294348959189
corr_Fp1_Fz,0.020137706637915587
stat_Pz_std,0.020127247518831215
region_central_band_rel_mean_alpha,0.020107922121674227
stat_Pz_var,0.01993599414383418
hjorth_Pz_activity,0.01993599414383418
corr_Fp1_F7,0.019922716467708934
band_rel_F3_delta,0.019813575370350778
hjorth_O2_mobility,0.019803182553061127
region_temporal_band_rel_mean_delta,0.01975828831950266
band_abs_O1_theta,0.019563427437840453
hjorth_O1_mobility,0.01951726622130079
corr_F7_T4,0.0195048744384001
corr_T4_A2A1,0.019478862583504064
band_abs_F4_beta,0.019440199531483682
band_rel_F7_delta,0.019400400119157446
stat_O1_skew,0.01938676391740235
corr_Fz_A2A1,0.019315298005947446
band_abs_C3_alpha,0.01929749223625654
corr_T5_Pz,0.01928015964036911
corr_F4_T6,0.01923230623691574
corr_F3_P3,0.01922704527042729
corr_F7_T6,0.019179099098728836
hemisphere_left_band_rel_mean_delta,0.019135496329361068
global_band_abs_std_delta,0.01913473653614739
band_rel_T4_alpha,0.01911955245070618
band_abs_T5_gamma,0.01904383255908515
region_parietal_band_rel_mean_delta,0.0189262954449243
stat_Pz_rms,0.018866775472121233
band_rel_Cz_alpha,0.018821623740747917
corr_T6_O2,0.018815049364942604
hjorth_F7_complexity,0.018810531844234868
region_occipital_band_rel_mean_beta,0.018695046555762707
stat_P4_rms,0.018683531708020062
band_rel_Fz_delta,0.018639975272370046
ratio_Fp2_theta_alpha,0.018613324674792597
stat_ECGECG_shannon_entropy,0.018572269392167273
band_rel_F7_gamma,0.018481376644768677
hemisphere_midline_band_rel_mean_theta,0.01845688588558847
hjorth_C4_mobility,0.01842068613123904
corr_O1_Fz,0.018411667388278596
band_abs_F8_gamma,0.01834522871833122
ratio_T6_beta_alpha,0.018303343329955313
band_abs_F7_alpha,0.01829132209571971
ratio_Fz_theta_beta,0.018262423173731168
hjorth_Fp1_complexity,0.018254653270002752
corr_Fp2_F7,0.018220804175935967
band_rel_O2_delta,0.018193026052200745
stat_O2_skew,0.01816834772336673
band_rel_P4_alpha,0.018034723990574486
region_occipital_band_rel_mean_delta,0.017984736238722654
ratio_T4_beta_alpha,0.01796769826228739
corr_P3_Fz,0.01794944253736075
corr_P4_O2,0.017825236363121943
corr_Fp1_F3,0.01762248491161711
band_abs_ECGECG_delta,0.017482935096357233
corr_P4_Pz,0.017475343051115866
ratio_Fp1_theta_beta,0.01745787852347469
ratio_P3_beta_alpha,0.017394306592152464
band_rel_F7_alpha,0.017372117801591758
corr_T4_Cz,0.017293974064805706
corr_Fp1_Cz,0.017226618986085906
band_abs_T6_gamma,0.01720407554407588
stat_C3_skew,0.017175785424584866
band_rel_C4_gamma,0.017166701323383826
ratio_F3_beta_alpha,0.017161656918164958
spectral_F7_entropy,0.017125389009687186
band_rel_Fp1_delta,0.016995218704626724
band_rel_ECGECG_gamma,0.01697252477539779
corr_T6_O1,0.016954703068404964
stat_F8_shannon_entropy,0.0169415104200894
band_rel_A2A1_beta,0.016868688457202907
ratio_ECGECG_beta_alpha,0.016833405957050962
