file,width_px,height_px,est_dpi
outputs\figures\confusion_matrix_gradient_boosting.png,1272,1028,159
outputs\figures\confusion_matrix_logistic_regression.png,1272,1028,159
outputs\figures\confusion_matrix_random_forest.png,1272,1028,159
outputs\figures\confusion_matrix_svm_rbf.png,1272,1028,159
outputs\figures\confusion_matrix_xgboost.png,1272,1028,159
outputs\figures\global_relative_bandpower.png,1956,1074,244
outputs\figures\precision_recall_holdout.png,1016,1028,128
outputs\figures\roc_curves_holdout.png,1016,1028,128
outputs\figures\statistics_volcano.png,1733,1072,217
outputs\figures\top_feature_importance_gradient_boosting.png,2175,1347,272
outputs\figures\top_feature_importance_logistic_regression.png,2177,1347,272
outputs\figures\top_feature_importance_random_forest.png,2175,1347,272
outputs\figures\top_feature_importance_xgboost.png,2175,1347,272
outputs\synthetic_smoke_test\figures\confusion_matrix_gradient_boosting.png,1711,1406,214
outputs\synthetic_smoke_test\figures\confusion_matrix_logistic_regression.png,1711,1406,214
outputs\synthetic_smoke_test\figures\confusion_matrix_random_forest.png,1711,1406,214
outputs\synthetic_smoke_test\figures\confusion_matrix_svm_rbf.png,1711,1406,214
outputs\synthetic_smoke_test\figures\confusion_matrix_xgboost.png,1711,1406,214
outputs\synthetic_smoke_test\figures\feature_correlation_heatmap.png,2654,2361,332
outputs\synthetic_smoke_test\figures\global_relative_bandpower.png,2670,1466,334
outputs\synthetic_smoke_test\figures\precision_recall_holdout.png,1389,1406,176
outputs\synthetic_smoke_test\figures\roc_curves_holdout.png,1389,1406,176
outputs\synthetic_smoke_test\figures\statistics_volcano.png,2370,1466,296
outputs\synthetic_smoke_test\figures\top_feature_importance_gradient_boosting.png,2965,1841,371
outputs\synthetic_smoke_test\figures\top_feature_importance_logistic_regression.png,2967,1841,371
outputs\synthetic_smoke_test\figures\top_feature_importance_random_forest.png,2967,1841,371
outputs\synthetic_smoke_test\figures\top_feature_importance_xgboost.png,2967,1841,371
outputs_journal_upgrade\figures\figure_ablation_f1.png,2400,1400,300
outputs_journal_upgrade\figures\figure_ablation_roc_auc.png,2400,1400,300
outputs_journal_upgrade\figures\figure_ablation_sensitivity_specificity.png,1400,1200,175
outputs_journal_upgrade\figures\figure_calibration_curve.png,1200,1200,150
outputs_journal_upgrade\figures\figure_external_validation_comparison.png,1200,600,150
outputs_journal_upgrade\figures\figure_feature_family_heatmap.png,2000,800,250
outputs_journal_upgrade\figures\figure_feature_stability_barplot.png,1800,1000,225
outputs_journal_upgrade\figures\figure_leakage_probability_by_subject.png,1800,800,225
outputs_journal_upgrade\figures\figure_negative_control_auc_distribution.png,1600,800,200
outputs_journal_upgrade\figures\figure_real_vs_negative_controls.png,1600,1000,200
outputs_journal_upgrade\figures\figure_snwa_calibration.png,1200,1200,150
outputs_journal_upgrade\figures\figure_snwa_roc_by_k.png,1400,1000,175
outputs_journal_upgrade\figures\figure_snwa_score_distribution.png,1400,1000,175
