n_train,rep,test_auc
4,0,0.7601571715027129
4,1,0.7670990357395613
4,2,0.6904933203860641
4,3,0.6427886883698984
4,4,0.7625532628568059
8,0,0.73285830147144
8,1,0.7357311821727879
8,2,0.676990885567528
8,3,0.7530845469255664
8,4,0.6684403413468947
12,0,0.7900291982323232
12,1,0.7696604508408129
12,2,0.7341761963632616
12,3,0.8175208102839682
12,4,0.7581773636171785
16,0,0.7481865740740741
16,1,0.7208500095292548
16,2,0.7103518837253777
16,3,0.7383733562035447
16,4,0.7528888888888887
20,0,0.7223662107031438
20,1,0.8182648995148996
20,2,0.8153283090783091
20,3,0.778875260960334
20,4,0.7624580033597312
24,0,0.8196766007990497
24,1,0.7678785780240072
24,2,0.8019922254616132
24,3,0.7601593933766636
24,4,0.8311839540371396
28,0,0.7591865969108121
28,1,0.8475347222222223
28,2,0.7525115740740742
28,3,0.8773668981481481
28,4,0.8199189814814815
32,0,0.7689351851851851
32,1,0.8160879629629629
32,2,0.8240348399246704
32,3,0.7601388888888888
32,4,0.8182175925925926
