feature,spearman_rho,p_value,p_fdr,direction
corr_Fz_Pz,-0.5786357786357788,0.00021834161526374166,0.17576500028731204,negative
corr_Fp1_O2,-0.5734877734877736,0.00025587846130420015,0.20598216134988112,negative
corr_F4_Pz,-0.5639639639639641,0.00034082383799564957,0.2743631895864979,negative
corr_O2_Fz,-0.5400257400257401,0.0006751109579992054,0.5434643211893604,negative
corr_P3_Fz,-0.5374517374517375,0.0007244222560532917,0.5831599161228999,negative
corr_F4_P3,-0.5343629343629344,0.0007877914642476673,0.6341721287193721,negative
corr_Fp2_O2,-0.5330759330759332,0.0008156124220185763,0.6565679997249539,negative
corr_F8_O2,-0.5310167310167311,0.0008619377845894887,0.6938599165945384,negative
corr_C3_P4,-0.5250965250965252,0.0010083546568012782,0.811725498725029,negative
corr_P4_Fz,-0.5232947232947233,0.0010570768470472174,0.85094686187301,negative
corr_Fp2_O1,-0.5145431145431145,0.0013245193367261293,1.0,negative
band_rel_Cz_theta,-0.5073359073359074,0.0015877877253568076,1.0,negative
corr_F4_P4,-0.5057915057915059,0.001649840570422193,1.0,negative
corr_O1_Fz,-0.4972972972972973,0.0020306878382840617,1.0,negative
corr_Fp2_P3,-0.49137709137709146,0.002339725197306878,1.0,negative
ratio_F7_beta_alpha,-0.4908622908622909,0.0023684447559621847,1.0,negative
corr_F4_O2,-0.49009009009009014,0.002412101681502312,1.0,negative
corr_Fp1_O1,-0.4864864864864865,0.0026252614519253286,1.0,negative
ratio_O2_beta_alpha,-0.48494208494208496,0.002721533001386579,1.0,negative
corr_F4_O1,-0.4777348777348777,0.0032126465089737516,1.0,negative
corr_Fp2_Pz,-0.47696267696267697,0.003269576420109775,1.0,negative
band_rel_O2_alpha,0.4764478764478765,0.0033080152430208353,1.0,positive
corr_T5_Fz,-0.47593307593307593,0.003346846351721101,1.0,negative
region_parietal_band_rel_mean_gamma,-0.4738738738738739,0.003506160379952738,1.0,negative
band_rel_O2_delta,-0.4738738738738739,0.003506160379952738,1.0,negative
region_occipital_band_rel_mean_alpha,0.4725868725868726,0.0036090418877914574,1.0,positive
ratio_Fp1_beta_alpha,-0.468983268983269,0.003911174297209216,1.0,negative
corr_F3_O1,-0.4687258687258687,0.0039335703745292765,1.0,negative
ratio_Cz_theta_alpha,-0.46718146718146725,0.004070295648564148,1.0,negative
corr_Fp2_P4,-0.4584298584298585,0.004925497000850593,1.0,negative
