feature,spearman_rho,p_value,p_fdr,direction
band_abs_O1_theta,-0.5845185139213303,1.287413874488444e-05,0.0045059485607095535,negative
band_abs_O1_beta,-0.44479427034466756,0.0015375323440607379,0.5381363204212583,negative
ratio_O2_theta_alpha,-0.4416458608157451,0.0016754106850001462,0.5863937397500512,negative
ratio_O1_theta_alpha,-0.4338291199163514,0.0020663732731516847,0.7232306456030897,negative
band_abs_O1_delta,-0.4173271113509647,0.0031668225216965372,1.0,negative
ratio_O1_theta_beta,-0.4039735123145004,0.004406398476880495,1.0,negative
stat_O1_ptp,-0.3864944111366895,0.006658484559483209,1.0,negative
ratio_T4_theta_alpha,-0.3787862360831206,0.007934038061363556,1.0,negative
hjorth_O1_activity,-0.3685810465755788,0.009944569261665382,1.0,negative
stat_O1_var,-0.3685810465755788,0.009944569261665382,1.0,negative
stat_F8_mean,-0.3644555444342321,0.010873988478478138,1.0,negative
stat_O1_std,-0.3601129106012356,0.011932003822877327,1.0,negative
stat_O1_rms,-0.3565302376890135,0.01287014380424554,1.0,negative
band_abs_Fc6_theta,-0.34458799464827305,0.016466374980281452,1.0,negative
band_rel_Af3_theta,-0.34350233619002396,0.016831960202519588,1.0,negative
band_abs_F8_theta,-0.3431766386525492,0.016942969868372664,1.0,negative
ratio_Fc6_theta_beta,-0.342199546040125,0.01727973302284882,1.0,negative
band_abs_T5_theta,-0.3395939657403271,0.018205633599258288,1.0,negative
ratio_Fc6_theta_alpha,-0.3391597023570274,0.018363961568434867,1.0,negative
ratio_F3_theta_alpha,-0.33525133190733064,0.019842081871197306,1.0,negative
band_abs_F3_theta,-0.3350342002156808,0.0199270618436441,1.0,negative
stat_T5_mean,-0.32928021038696037,0.022293561996764237,1.0,negative
band_rel_T6_theta,-0.32873738115783585,0.022528528624341786,1.0,negative
stat_T4_mean,-0.3243947473248393,0.02448424067599925,1.0,negative
ratio_T4_theta_beta,-0.3197264159543681,0.026743284316949015,1.0,negative
band_abs_T4_theta,-0.31788079657534457,0.027683151726813737,1.0,negative
ratio_F3_theta_beta,-0.31560091381302136,0.028882030115978216,1.0,negative
ratio_F4_theta_alpha,-0.31201824090079927,0.030853101534111936,1.0,negative
band_rel_F8_gamma,0.31190967505497436,0.030914531485965385,1.0,positive
ratio_F8_theta_beta,-0.3114754116716747,0.03116126730114048,1.0,negative
