metric,value
n_subjects,36
n_features_resting,805
n_features_sig_fdr,0
n_features_sig_uncorrected,221
auc_mean,0.828
auc_std,0.1601
n_resistant_auc_below_06,3
n_resistant_auc_below_05,2
prediction_pearson_r,0.2562
prediction_pearson_p,0.1315
prediction_spearman_rho,0.3234
prediction_spearman_p,0.0544
prediction_r2,0.0304
top_predictor_feature,hjorth_F4_complexity
top_predictor_rho,-0.6115
top_predictor_p,0.0001
best_two_stage_threshold,0.5
overall_auc_at_best_threshold,0.828
two_stage_auc_at_best_threshold,0.8172
auc_improvement,-0.0109
