rank,feature,spearman_rho,direction,p_value_uncorrected,p_value_fdr,significant_fdr
1,hjorth_F4_complexity,-0.6114830274763666,negative,7.43151315390893e-05,0.05982368088896688,False
2,hjorth_Cz_complexity,-0.5942327694380859,negative,0.0001328060145554794,0.10690884171716092,False
3,hjorth_C4_complexity,-0.5926879702107772,negative,0.00013966875878437473,0.11243335082142165,False
4,band_abs_Cz_alpha,0.5708033144905704,positive,0.0002776580017530533,0.2235146914112079,False
5,hemisphere_midline_band_rel_mean_delta,-0.559217320285755,negative,0.00039190605594918883,0.315484375039097,False
6,stat_Pz_skew,0.555612788755368,positive,0.00043514630951473364,0.3502927791593606,False
7,band_abs_C3_alpha,0.5543254560659441,positive,0.0004515894660610393,0.36352952017913664,False
8,region_parietal_band_rel_mean_gamma,-0.5540679895280592,negative,0.0004549437208042266,0.3662296952474024,False
9,stat_P4_skew,0.5525231903007506,positive,0.00047553923496581674,0.3828090841474825,False
10,band_rel_P4_gamma,-0.5489186587703636,negative,0.0005268564540136387,0.42411944548097913,False
11,band_abs_F3_alpha,0.5471163930051701,positive,0.0005543162237937726,0.4462245601539869,False
12,band_abs_Fz_alpha,0.5401647964822809,positive,0.0006725338927985815,0.5413897837028581,False
13,band_rel_C4_delta,-0.5373326645655482,negative,0.0007267787244965177,0.5850568732196967,False
14,band_abs_O2_alpha,0.5368177314897786,positive,0.0007370477413253755,0.5933234317669274,False
15,hjorth_C3_complexity,-0.5365602649518939,negative,0.0007422303158142737,0.5974954042304903,False
16,band_rel_Pz_delta,-0.5357878653382395,negative,0.0007579723694307738,0.610167757391773,False
17,hjorth_Fz_complexity,-0.5355303988003547,negative,0.0007632850755831146,0.6144444858444073,False
18,band_abs_Cz_beta,0.5355303988003547,positive,0.0007632850755831146,0.6144444858444073,False
19,region_parietal_band_rel_mean_delta,-0.5342430661109308,negative,0.0007903466597066135,0.6362290610638238,False
20,band_rel_P3_gamma,-0.5272914695880416,negative,0.0009516895866935506,0.7661101172883082,False
21,hjorth_Pz_complexity,-0.5260041368986176,negative,0.0009845719833044774,0.7925804465601043,False
22,band_abs_C4_alpha,0.5239444045955394,positive,0.0010392744773678809,0.8366159542811441,False
23,band_rel_Cz_delta,-0.5216272057545763,negative,0.001104007920231498,0.8887263757863558,False
24,band_abs_F8_alpha,0.5193100069136132,positive,0.0011722740431872737,0.9436806047657553,False
25,band_abs_Fz_beta,0.5190525403757285,positive,0.0011800842676226294,0.9499678354362167,False
26,hjorth_P3_complexity,-0.5182801407620741,negative,0.0012037909638087253,0.9690517258660238,False
27,band_abs_F4_beta,0.5180226742241892,positive,0.001211785970972214,0.9754877066326323,False
28,region_central_band_rel_mean_delta,-0.5169928080726501,negative,0.0012442360702049036,1.0,False
29,band_abs_Pz_alpha,0.5149330757695718,positive,0.0013114417024882373,1.0,False
30,band_rel_F4_delta,-0.5110710777013001,negative,0.001446114129324479,1.0,False
