feature,importance
band_abs_A2A1_gamma,0.016331996923359158
band_abs_Fp1_gamma,0.016084859565619378
corr_T5_A2A1,0.010126252300345457
band_abs_A2A1_beta,0.008746995266201011
region_temporal_band_rel_mean_gamma,0.008668277821061074
region_other_band_rel_mean_gamma,0.008450928960108187
band_abs_Fp2_gamma,0.00799692761502811
corr_F4_F8,0.007847915399534418
stat_Fp1_rms,0.007844499838703145
band_rel_A2A1_gamma,0.00773688361098788
band_rel_T6_gamma,0.0072236455929051485
band_rel_ECGECG_beta,0.007218856046971936
band_rel_ECGECG_alpha,0.007197576148201413
stat_Fp1_var,0.007031780992090386
band_rel_ECGECG_delta,0.006929579224674066
corr_Fp1_F7,0.006383906181095913
band_rel_T5_alpha,0.00635597920382864
band_abs_Fp1_delta,0.006217531269673584
hjorth_A2A1_mobility,0.0060467050964988
region_frontal_band_rel_mean_alpha,0.00603005582058321
hjorth_Fp1_activity,0.005998404261100205
band_rel_T4_gamma,0.0058878200784525
band_abs_T6_gamma,0.005709278092766656
hjorth_T6_mobility,0.005560223975091971
stat_Fp1_std,0.005485269312133844
band_rel_T3_gamma,0.005311789414784916
global_band_rel_std_beta,0.005230990673179769
hjorth_ECGECG_complexity,0.005180311578320938
band_abs_T4_gamma,0.005108458817344268
stat_Fp1_ptp,0.004950566043374003
hemisphere_left_band_rel_mean_alpha,0.004937465965111035
band_rel_P4_gamma,0.004740653351283889
corr_T4_C4,0.00444775450212006
corr_Fp1_F3,0.004243265835061808
corr_F7_A2A1,0.004124708392232145
band_abs_Fp1_theta,0.0038896349668292897
region_parietal_band_rel_mean_gamma,0.003883519555315914
stat_Fp2_std,0.0038346120517984655
band_abs_ECGECG_gamma,0.0038198404430760642
global_band_rel_mean_gamma,0.003787379569180263
band_abs_F7_gamma,0.0037816903115594925
stat_Fp2_rms,0.003711416761278312
hjorth_ECGECG_mobility,0.0036172632130202207
band_abs_Pz_alpha,0.0036054727319682813
stat_Fp2_var,0.0035760914168512198
global_band_rel_std_gamma,0.0035132042686271798
corr_F8_T4,0.0034400577908563095
global_band_abs_std_beta,0.0034257475391891133
stat_O1_std,0.0033991672365818594
band_abs_F8_gamma,0.0033834032921035173
hjorth_Fp2_activity,0.0033792515548697693
band_abs_A2A1_theta,0.0033734891468163845
ratio_ECGECG_theta_alpha,0.003304492795008686
band_abs_ECGECG_alpha,0.003245359157806813
corr_F8_Fz,0.0032303381692215787
region_temporal_band_rel_mean_alpha,0.0032287820609111523
stat_Fp2_ptp,0.0032204142961248816
band_abs_F8_delta,0.003215899012513918
hjorth_F8_complexity,0.0032136932400934023
global_band_abs_std_gamma,0.0031846626909455404
global_band_abs_mean_gamma,0.003145533782456366
hjorth_Fp2_complexity,0.003121994901621934
global_band_abs_mean_beta,0.0030263379443682945
stat_A2A1_ptp,0.0029434195007364554
corr_F3_F7,0.0029313427855977912
band_abs_O1_alpha,0.0029225474901255835
corr_Fp2_Fz,0.0029222429282504112
hjorth_O1_activity,0.0029149666990018097
stat_O1_rms,0.002906786458757022
global_band_abs_std_delta,0.002877078852816553
band_rel_F8_delta,0.002875569908000509
corr_Fp1_A2A1,0.0028592818814559703
stat_ECGECG_shannon_entropy,0.0028561644353622697
band_rel_Fp2_alpha,0.002842397229662028
corr_Fp2_F8,0.0027850342802363537
corr_P4_O2,0.0027559661913291573
hemisphere_right_band_rel_mean_delta,0.0027540879054166055
region_other_band_rel_mean_beta,0.002742295084724312
ratio_ECGECG_theta_beta,0.002705721723416318
stat_O1_var,0.0026913557923327227
hemisphere_left_band_rel_mean_gamma,0.002652717307521422
global_band_abs_std_alpha,0.00258688746966761
hemisphere_right_band_rel_mean_gamma,0.0025748209863655654
stat_Cz_var,0.0025460529672923344
band_abs_ECGECG_theta,0.002529349742721287
band_abs_ECGECG_beta,0.0024998358674840947
stat_A2A1_var,0.002476543058203336
global_band_abs_std_theta,0.002472002848604685
stat_A2A1_std,0.0024690640499303723
corr_P3_Pz,0.0024612172846860455
hemisphere_right_band_rel_mean_alpha,0.002426293843191638
band_rel_F8_alpha,0.0024132344521045506
corr_O1_Pz,0.0023990706769364124
connectivity_corr_std,0.002376090685505793
