feature,n_subject_pairs,rest_mean,workload_mean,mean_difference_workload_minus_rest,paired_t_statistic,paired_t_p,wilcoxon_statistic,wilcoxon_p,cohens_dz,abs_cohens_dz,paired_t_q_fdr,wilcoxon_q_fdr
stat_O1_skew,36,0.14812598413514955,0.040574986633378246,-0.10755099750177129,-6.005928963608293,7.583440406942343e-07,42.0,3.304739948362112e-07,-1.0009881605920656,1.0009881605920656,0.0005638003705629278,5.057059752289206e-05
band_abs_Cz_beta,36,13.511923703390208,10.191133154940921,-3.320790548449288,-5.598614055435393,2.6118599594714887e-06,18.0,7.363269105553627e-09,-0.933102342572303,0.933102342572303,0.0005638003705629278,5.92743162997067e-06
ratio_Pz_beta_alpha,36,0.45300450502310674,0.6975996018223397,0.24459509679923308,5.57613980516493,2.7964342345742976e-06,57.0,2.0539737306535244e-06,0.9293566341906239,0.9293566341906239,0.0005638003705629278,9.185826962089373e-05
stat_P3_ptp,36,67.88633849940459,58.745813269609826,-9.140525229794768,-5.5755449842977765,2.8014925245362872e-06,57.0,2.0539737306535244e-06,-0.9292574973828682,0.9292574973828682,0.0005638003705629278,9.185826962089373e-05
band_abs_T5_alpha,36,20.61250643232585,12.618690330799119,-7.993816101526728,-5.317148636072775,6.1401776598925386e-06,49.0,8.043716661632061e-07,-0.8861914393453643,0.8861914393453643,0.0006636806123360422,7.19465768068201e-05
ratio_P3_beta_alpha,36,0.5050672578283307,0.740618441029476,0.23555118320114538,5.277251762079842,6.930221731207032e-06,61.0,3.1939998734742403e-06,0.8795419603433561,0.8795419603433561,0.0006636806123360422,0.00011687135900667107
band_rel_Pz_gamma,36,0.010724880186309788,0.015635407958373163,0.004910527772063376,5.214431846001169,8.38436959216009e-06,46.0,5.541951395571232e-07,0.8690719741797185,0.8690719741797185,0.0006636806123360422,5.576588591793552e-05
stat_P3_skew,36,0.10090293977709208,0.019450307591041712,-0.08145263218605038,-5.152988017308637,1.0099938727973624e-05,84.0,3.049665247090161e-05,-0.8588313362090506,0.8588313362090506,0.0006636806123360422,0.00036102654763346757
stat_O1_ptp,36,74.8023068318791,63.81893527761051,-10.983371554268595,-5.145079356244177,1.0344748886519171e-05,77.0,1.605928991921246e-05,-0.8575132260406293,0.8575132260406293,0.0006636806123360422,0.00025348487029345156
band_abs_F4_beta,36,12.626760603689428,10.15778096276729,-2.4689796409221367,-5.118976184493903,1.1195438979767262e-05,64.0,4.400411853566766e-06,-0.8531626974153556,0.8531626974153556,0.0006636806123360422,0.00014169326168484987
stat_Cz_ptp,36,65.60173778647437,57.98267428210626,-7.6190635043681265,-5.069161908753973,1.301661440666104e-05,75.0,1.3280485291033983e-05,-0.8448603181255684,0.8448603181255684,0.0006636806123360422,0.00022746363104856078
ratio_P4_beta_alpha,36,0.43907729094193676,0.6570203084665951,0.2179430175246585,5.064412946031514,1.3204906829784664e-05,81.0,2.3269385565072298e-05,0.8440688243353168,0.8440688243353168,0.0006636806123360422,0.0003286290417523368
stat_Cz_std,36,10.985340751746076,9.791226646988862,-1.1941141047572117,-5.033153423831392,1.4513701793396535e-05,76.0,1.4609657227993011e-05,-0.8388589039713092,0.8388589039713092,0.0006636806123360422,0.0002352154813706875
stat_Cz_rms,36,10.995435690515315,9.802285897214977,-1.193149793300337,-5.021032128316598,1.5055202400200462e-05,76.0,1.4609657227993011e-05,-0.8368386880521794,0.8368386880521794,0.0006636806123360422,0.0002352154813706875
band_rel_P4_gamma,36,0.010456553909627972,0.015362035299429595,0.004905481389801618,5.017678029364952,1.5208555613316054e-05,64.0,4.400411853566766e-06,0.8362796714182575,0.8362796714182575,0.0006636806123360422,0.00014169326168484987
band_abs_F3_alpha,36,23.82442449620971,16.59209231085798,-7.232332185351727,-5.004875793758717,1.5808288214289286e-05,69.0,7.36583024263382e-06,-0.8341459656263565,0.8341459656263565,0.0006636806123360422,0.00019280483898268466
band_rel_F4_alpha,36,0.24810243837792972,0.1855581103989427,-0.06254432797898696,-4.99825113432293,1.6127790693261584e-05,73.0,1.0947667760774493e-05,-0.8330418557093928,0.8330418557093928,0.0006636806123360422,0.0002049505243586853
band_abs_F3_beta,36,11.918803169343914,9.657183947823977,-2.2616192215199384,-4.993971367916189,1.633760250942327e-05,40.0,2.5279587134718895e-07,-0.8323285613190585,0.8323285613190585,0.0006636806123360422,5.057059752289206e-05
band_abs_Cz_alpha,36,34.74013326341473,22.000477810221792,-12.73965545319294,-4.991314466243507,1.6469216340770318e-05,46.0,5.541951395571232e-07,-0.8318857443738635,0.8318857443738635,0.0006636806123360422,5.576588591793552e-05
band_abs_T3_alpha,36,21.630079602205154,14.023409366059509,-7.606670236145642,-4.967398299817,1.770235263790154e-05,80.0,2.1232612198218703e-05,-0.8278997166360764,0.8278997166360764,0.0006636806123360422,0.0003165232003623344
