trial_type,difficulty_range,marker_stream,rest_like_text_match,n_events
dropped_samples,nan,UoHDataOffsetStream,False,18064
0.6-1.5,0.6-1.5,arithmetic-Markers,False,360
4.2-5.1,4.2-5.1,arithmetic-Markers,False,360
6_0_6_9,nan,arithmetic-Markers,False,360
6.0-6.9,6.0-6.9,arithmetic-Markers,False,360
5_1_6_0,nan,arithmetic-Markers,False,360
5.1-6.0,5.1-6.0,arithmetic-Markers,False,360
0_6_1_5,nan,arithmetic-Markers,False,360
4_2_5_1,nan,arithmetic-Markers,False,360
3_3_4_2,nan,arithmetic-Markers,False,360
3.3-4.2,3.3-4.2,arithmetic-Markers,False,360
2_4_3_3,nan,arithmetic-Markers,False,360
2.4-3.3,2.4-3.3,arithmetic-Markers,False,360
1_5_2_4,nan,arithmetic-Markers,False,360
1.5-2.4,1.5-2.4,arithmetic-Markers,False,360
started_arithmetic,nan,arithmetic-Markers,False,40
finished_arithmetic,nan,arithmetic-Markers,False,36
finished_tutorial_arithmetic,nan,arithmetic-Markers,False,36
started_tutorial_artihmetic,nan,arithmetic-Markers,False,36
