file,condition,label,raw_file_found,raw_path,raw_header_sfreq_hz,raw_header_duration_sec,feature_table_inferred_duration_sec,feature_table_min_start_sec,feature_table_n_windows,header_read_status
Subject00_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject00_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject01_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject01_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject02_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject02_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject03_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject03_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject04_1.edf,rest,0,False,,,,170.0,0.0,84,raw_edf_not_found_in_repository
Subject04_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject05_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject05_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject06_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject06_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject07_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject07_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject08_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject08_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject09_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject09_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject10_1.edf,rest,0,False,,,,188.0,0.0,93,raw_edf_not_found_in_repository
Subject10_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject11_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject11_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject12_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject12_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject13_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject13_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject14_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject14_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject15_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject15_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject16_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject16_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject17_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject17_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject18_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject18_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject19_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject19_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject20_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject20_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject21_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject21_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject22_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject22_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject23_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject23_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject24_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject24_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject25_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject25_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject26_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject26_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject27_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject27_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject28_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject28_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject29_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject29_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject30_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject30_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject31_1.edf,rest,0,False,,,,80.0,0.0,39,raw_edf_not_found_in_repository
Subject31_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject32_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject32_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject33_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject33_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject34_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject34_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
Subject35_1.edf,rest,0,False,,,,182.0,0.0,90,raw_edf_not_found_in_repository
Subject35_2.edf,workload,1,False,,,,62.0,0.0,30,raw_edf_not_found_in_repository
