subject_id,session,role,readable,sfreq,n_channels,locked_present,missing,duration_s
sub-01,ses-S1,calibration_RS_Beg_EO,True,500.0,63,8,[],59.96
sub-01,ses-S1,scored_rest_RS_End_EO,True,500.0,63,8,[],60.0
sub-01,ses-S1,scored_task_MATBdiff,True,500.0,63,8,[],299.48
sub-02,ses-S1,calibration_RS_Beg_EO,True,500.0,63,8,[],60.0
sub-02,ses-S1,scored_rest_RS_End_EO,True,500.0,63,8,[],60.0
sub-02,ses-S1,scored_task_MATBdiff,True,500.0,63,8,[],299.16
sub-03,ses-S1,calibration_RS_Beg_EO,True,500.0,63,8,[],60.0
sub-03,ses-S1,scored_rest_RS_End_EO,True,500.0,63,8,[],60.0
sub-03,ses-S1,scored_task_MATBdiff,True,500.0,63,8,[],299.48
sub-04,ses-S1,calibration_RS_Beg_EO,True,500.0,63,8,[],60.0
sub-04,ses-S1,scored_rest_RS_End_EO,True,500.0,63,8,[],60.0
sub-04,ses-S1,scored_task_MATBdiff,True,500.0,63,8,[],299.25
sub-05,ses-S1,calibration_RS_Beg_EO,True,500.0,63,8,[],59.96
sub-05,ses-S1,scored_rest_RS_End_EO,True,500.0,63,8,[],60.0
sub-05,ses-S1,scored_task_MATBdiff,True,500.0,63,8,[],299.15
sub-06,ses-S1,calibration_RS_Beg_EO,True,500.0,63,8,[],60.0
sub-06,ses-S1,scored_rest_RS_End_EO,True,500.0,63,8,[],60.0
sub-06,ses-S1,scored_task_MATBdiff,True,500.0,63,8,[],299.03
sub-07,ses-S1,calibration_RS_Beg_EO,True,500.0,63,8,[],59.91
sub-07,ses-S1,scored_rest_RS_End_EO,True,500.0,63,8,[],60.0
sub-07,ses-S1,scored_task_MATBdiff,True,500.0,63,8,[],299.27
sub-08,ses-S1,calibration_RS_Beg_EO,True,500.0,63,8,[],59.96
sub-08,ses-S1,scored_rest_RS_End_EO,True,500.0,63,8,[],60.0
sub-08,ses-S1,scored_task_MATBdiff,True,500.0,63,8,[],299.45
sub-09,ses-S1,calibration_RS_Beg_EO,True,500.0,63,8,[],59.96
sub-09,ses-S1,scored_rest_RS_End_EO,True,500.0,63,8,[],60.0
sub-09,ses-S1,scored_task_MATBdiff,True,500.0,63,8,[],299.48
sub-10,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],60.0
sub-10,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-10,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],299.29
sub-11,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],60.0
sub-11,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-11,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],299.39
sub-12,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],59.98
sub-12,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-12,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],299.26
sub-13,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],59.94
sub-13,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-13,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],299.15
sub-14,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],59.95
sub-14,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-14,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],299.22
sub-15,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],59.98
