subject_id,session,role,recording,label,available_duration_s,segment_seconds,segment_within_available,window_seconds,overlap_fraction,step_seconds,planned_windows,windows_are_time_defined_sampling_invariant
sub-01,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.96,30.0,yes,4.0,0.5,2.0,14,true
sub-01,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-01,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.48,30.0,yes,4.0,0.5,2.0,14,true
sub-02,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-02,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-02,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.16,30.0,yes,4.0,0.5,2.0,14,true
sub-03,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-03,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-03,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.48,30.0,yes,4.0,0.5,2.0,14,true
sub-04,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-04,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-04,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.25,30.0,yes,4.0,0.5,2.0,14,true
sub-05,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.96,30.0,yes,4.0,0.5,2.0,14,true
sub-05,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-05,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.15,30.0,yes,4.0,0.5,2.0,14,true
sub-06,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-06,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-06,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.03,30.0,yes,4.0,0.5,2.0,14,true
sub-07,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.91,30.0,yes,4.0,0.5,2.0,14,true
sub-07,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-07,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.27,30.0,yes,4.0,0.5,2.0,14,true
sub-08,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.96,30.0,yes,4.0,0.5,2.0,14,true
sub-08,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-08,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.45,30.0,yes,4.0,0.5,2.0,14,true
sub-09,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.96,30.0,yes,4.0,0.5,2.0,14,true
sub-09,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-09,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.48,30.0,yes,4.0,0.5,2.0,14,true
sub-10,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-10,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-10,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.29,30.0,yes,4.0,0.5,2.0,14,true
sub-11,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-11,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-11,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.39,30.0,yes,4.0,0.5,2.0,14,true
sub-12,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.98,30.0,yes,4.0,0.5,2.0,14,true
sub-12,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-12,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.26,30.0,yes,4.0,0.5,2.0,14,true
sub-13,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.94,30.0,yes,4.0,0.5,2.0,14,true
sub-13,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-13,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.15,30.0,yes,4.0,0.5,2.0,14,true
sub-14,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.95,30.0,yes,4.0,0.5,2.0,14,true
sub-14,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
