subject_id,source,md5_status,primary_session,calibration_present,scored_rest_present,scored_task_present,locked_design_executable,note
sub-01,local,local_md5_verified,ses-S1,True,True,True,True,ok
sub-02,local,local_md5_verified,ses-S1,True,True,True,True,ok
sub-03,local,local_md5_verified,ses-S1,True,True,True,True,ok
sub-04,local,local_md5_verified,ses-S1,True,True,True,True,ok
sub-05,local,local_md5_verified,ses-S1,True,True,True,True,ok
sub-06,local,local_md5_verified,ses-S1,True,True,True,True,ok
sub-07,local,local_md5_verified,ses-S1,True,True,True,True,ok
sub-08,local,local_md5_verified,ses-S1,True,True,True,True,ok
sub-09,local,local_md5_verified,ses-S1,True,True,True,True,ok
sub-10,local,local_md5_verified,ses-S1,True,True,True,True,ok
sub-11,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
sub-12,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
sub-13,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
sub-14,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
sub-15,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
sub-16,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
sub-17,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
sub-18,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
sub-19,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
sub-20,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
sub-21,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
sub-22,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
sub-23,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
sub-24,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
sub-25,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
sub-26,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
sub-27,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
sub-28,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
sub-29,remote,remote_range_read_manifest_md5_on_record,ses-S1,True,True,True,True,ok
