file,source,size_bytes,md5_expected,md5_status,n_entries
sub-01.zip,local,1096627416,23f1f74cced86b40a0a956c67bba74fb,local_md5_verified,112
sub-02.zip,local,1077561911,f3f0b80c9752494c7e0eaba2b5cba63b,local_md5_verified,112
sub-03.zip,local,1091918375,3120766d0e2d65ef0299980381f4aa3e,local_md5_verified,113
sub-04.zip,local,1061048048,613ae1a3937261ba07ff239f80f6ebf9,local_md5_verified,113
sub-05.zip,local,1028766446,9395a89068a247dc1f28bee677a2522d,local_md5_verified,113
sub-06.zip,local,1047170742,da029812690e0e352d7b4a3f2f3231f3,local_md5_verified,113
sub-07.zip,local,1038697112,1c7778dd78b514108d20c39bd13f83b0,local_md5_verified,113
sub-08.zip,local,1075163598,3ddf5876b2ed252d7210be6bb5c54b79,local_md5_verified,113
sub-09.zip,local,1068933020,84e52f812865cc500f3c8d39b82a3d5f,local_md5_verified,113
sub-10.zip,local,1077684921,3470c8890aa6ae5bd684c2a4127554f8,local_md5_verified,113
sub-11.zip,remote,,c63aab36869315fa7303c76c4bfaa0e6,remote_range_read_manifest_md5_on_record,113
sub-12.zip,remote,,7fda5b987eb6374a257b142b839fcd28,remote_range_read_manifest_md5_on_record,113
sub-13.zip,remote,,f0b00c46f9f2c6088e4d9a8b0affea81,remote_range_read_manifest_md5_on_record,113
sub-14.zip,remote,,03e164e277d89070c30fa59424cd78c4,remote_range_read_manifest_md5_on_record,113
sub-15.zip,remote,,1fd226373725dc3783d33a8c62ed06d6,remote_range_read_manifest_md5_on_record,113
sub-16.zip,remote,,0dbab52411a3d8c2a07f7b2d749039c9,remote_range_read_manifest_md5_on_record,113
sub-17.zip,remote,,1c81adb20356f3f1429df7d0dd7bb914,remote_range_read_manifest_md5_on_record,113
sub-18.zip,remote,,76999fc70c7fd2d9ddbd9138deb14f8d,remote_range_read_manifest_md5_on_record,113
sub-19.zip,remote,,fe9b49a82ce7c4b0fadb2b9e7900bb65,remote_range_read_manifest_md5_on_record,113
sub-20.zip,remote,,6db83600139c2d075e96593d1a692ff1,remote_range_read_manifest_md5_on_record,113
sub-21.zip,remote,,34a1bb2d9f95e5c7664c0fd6c2f00333,remote_range_read_manifest_md5_on_record,113
sub-22.zip,remote,,4cfd73876a2de9b87a381260d750900d,remote_range_read_manifest_md5_on_record,113
sub-23.zip,remote,,e2cdcf884ca801b10951a2ede52d53cb,remote_range_read_manifest_md5_on_record,113
sub-24.zip,remote,,b3af9f114daa6f8a6022db580e9e012c,remote_range_read_manifest_md5_on_record,113
sub-25.zip,remote,,bbe75eb0758ff331f0807b242ee3119c,remote_range_read_manifest_md5_on_record,110
sub-26.zip,remote,,e650edc8edcbbb295f3fa49f0bc9c62d,remote_range_read_manifest_md5_on_record,110
sub-27.zip,remote,,0751c82f0cbeb2ee07e8ecec66d2797c,remote_range_read_manifest_md5_on_record,110
sub-28.zip,remote,,4d3862026ba6775f29b68a0c2b32e5f7,remote_range_read_manifest_md5_on_record,110
sub-29.zip,remote,,cfee23041f75b86b9e7d6f671c633287,remote_range_read_manifest_md5_on_record,110
