subject_id,session,calibration_RS_Beg_EO_set,calibration_RS_Beg_EO_fdt,scored_rest_RS_End_EO_set,scored_rest_RS_End_EO_fdt,scored_task_MATBdiff_set,scored_task_MATBdiff_fdt
sub-01,ses-S1,True,True,True,True,True,True
sub-01,ses-S2,True,True,True,True,True,True
sub-01,ses-S3,True,True,True,True,True,True
sub-02,ses-S1,True,True,True,True,True,True
sub-02,ses-S2,True,True,True,True,True,True
sub-02,ses-S3,True,True,True,True,True,True
sub-03,ses-S1,True,True,True,True,True,True
sub-03,ses-S2,True,True,True,True,True,True
sub-03,ses-S3,True,True,True,True,True,True
sub-04,ses-S1,True,True,True,True,True,True
sub-04,ses-S2,True,True,True,True,True,True
sub-04,ses-S3,True,True,True,True,True,True
sub-05,ses-S1,True,True,True,True,True,True
sub-05,ses-S2,True,True,True,True,True,True
sub-05,ses-S3,True,True,True,True,True,True
sub-06,ses-S1,True,True,True,True,True,True
sub-06,ses-S2,True,True,True,True,True,True
sub-06,ses-S3,True,True,True,True,True,True
sub-07,ses-S1,True,True,True,True,True,True
sub-07,ses-S2,True,True,True,True,True,True
sub-07,ses-S3,True,True,True,True,True,True
sub-08,ses-S1,True,True,True,True,True,True
sub-08,ses-S2,True,True,True,True,True,True
sub-08,ses-S3,True,True,True,True,True,True
sub-09,ses-S1,True,True,True,True,True,True
sub-09,ses-S2,True,True,True,True,True,True
sub-09,ses-S3,True,True,True,True,True,True
sub-10,ses-S1,True,True,True,True,True,True
sub-10,ses-S2,True,True,True,True,True,True
sub-10,ses-S3,True,True,True,True,True,True
sub-11,ses-S1,True,True,True,True,True,True
sub-11,ses-S2,True,True,True,True,True,True
sub-11,ses-S3,True,True,True,True,True,True
sub-12,ses-S1,True,True,True,True,True,True
sub-12,ses-S2,True,True,True,True,True,True
sub-12,ses-S3,True,True,True,True,True,True
sub-13,ses-S1,True,True,True,True,True,True
sub-13,ses-S2,True,True,True,True,True,True
sub-13,ses-S3,True,True,True,True,True,True
sub-14,ses-S1,True,True,True,True,True,True
sub-14,ses-S2,True,True,True,True,True,True
sub-14,ses-S3,True,True,True,True,True,True
sub-15,ses-S1,True,True,True,True,True,True
sub-15,ses-S2,True,True,True,True,True,True
sub-15,ses-S3,True,True,True,True,True,True
sub-16,ses-S1,True,True,True,True,True,True
sub-16,ses-S2,True,True,True,True,True,True
sub-16,ses-S3,True,True,True,True,True,True
sub-17,ses-S1,True,True,True,True,True,True
sub-17,ses-S2,True,True,True,True,True,True
sub-17,ses-S3,True,True,True,True,True,True
sub-18,ses-S1,True,True,True,True,True,True
sub-18,ses-S2,True,True,True,True,True,True
sub-18,ses-S3,True,True,True,True,True,True
sub-19,ses-S1,True,True,True,True,True,True
sub-19,ses-S2,True,True,True,True,True,True
sub-19,ses-S3,True,True,True,True,True,True
sub-20,ses-S1,True,True,True,True,True,True
sub-20,ses-S2,True,True,True,True,True,True
sub-20,ses-S3,True,True,True,True,True,True
sub-21,ses-S1,True,True,True,True,True,True
sub-21,ses-S2,True,True,True,True,True,True
sub-21,ses-S3,True,True,True,True,True,True
sub-22,ses-S1,True,True,True,True,True,True
sub-22,ses-S2,True,True,True,True,True,True
sub-22,ses-S3,True,True,True,True,True,True
sub-23,ses-S1,True,True,True,True,True,True
sub-23,ses-S2,True,True,True,True,True,True
sub-23,ses-S3,True,True,True,True,True,True
sub-24,ses-S1,True,True,True,True,True,True
sub-24,ses-S2,True,True,True,True,True,True
sub-24,ses-S3,True,True,True,True,True,True
sub-25,ses-S1,True,True,True,True,True,True
sub-25,ses-S2,True,True,True,True,True,True
sub-25,ses-S3,True,True,True,True,True,True
sub-26,ses-S1,True,True,True,True,True,True
sub-26,ses-S2,True,True,True,True,True,True
sub-26,ses-S3,True,True,True,True,True,True
sub-27,ses-S1,True,True,True,True,True,True
sub-27,ses-S2,True,True,True,True,True,True
sub-27,ses-S3,True,True,True,True,True,True
sub-28,ses-S1,True,True,True,True,True,True
sub-28,ses-S2,True,True,True,True,True,True
sub-28,ses-S3,True,True,True,True,True,True
sub-29,ses-S1,True,True,True,True,True,True
sub-29,ses-S2,True,True,True,True,True,True
sub-29,ses-S3,True,True,True,True,True,True
