n,accuracy,sensitivity,specificity,f1,roc_auc,model,dataset
4266,0.7083919362400375,0.6259259259259259,0.736346516007533,0.5208012326656395,0.735942258957011,logistic_regression,MAT
4266,0.7100328176277544,0.4935185185185185,0.783427495291902,0.46287451150673037,0.7088461381972053,svm_rbf,MAT
4266,0.7381622128457571,0.10462962962962963,0.9529190207156308,0.16827997021593447,0.7072751737927505,random_forest,MAT
2000,0.758,0.765748031496063,0.75,0.7627450980392156,0.8327461830228537,random_forest,STEW
2000,0.728,0.7677165354330708,0.6869918699186992,0.7414448669201521,0.800160341047308,svm_rbf,STEW
2000,0.7065,0.7312992125984252,0.6808943089430894,0.7168355041003377,0.7527542050764996,logistic_regression,STEW
360,0.525,0.5388888888888889,0.5111111111111111,0.5315068493150685,0.5463271604938272,random_forest,DS007262
360,0.5194444444444445,0.5277777777777778,0.5111111111111111,0.5234159779614325,0.5044135802469136,logistic_regression,DS007262
360,0.49444444444444446,0.5333333333333333,0.45555555555555555,0.5133689839572193,0.46720679012345684,svm_rbf,DS007262
6626,0.7075158466646544,0.6990333919156415,0.7119540229885057,0.621484375,0.7725746419408925,svm_rbf,COMBINED
6626,0.7140054331421672,0.37082601054481545,0.8935632183908045,0.471113591962043,0.7502956386481626,random_forest,COMBINED
6626,0.6912164201629942,0.6537785588752196,0.7108045977011495,0.5925925925925926,0.7423405652182696,logistic_regression,COMBINED
