n,accuracy,sensitivity,specificity,f1,roc_auc,train_on,test_on,model,n_train,n_test
2000,0.4905,0.7992125984251969,0.1717479674796748,0.6144532727960651,0.4758343135842775,MAT,STEW,logistic_regression,4266,2000
2000,0.492,0.0,1.0,0.0,0.4648710069777863,MAT,STEW,svm_rbf,4266,2000
2000,0.4905,0.006889763779527559,0.9898373983739838,0.013552758954501452,0.4862879897253697,MAT,STEW,random_forest,4266,2000
4266,0.7175339896858884,0.1259259259259259,0.9180790960451978,0.18415707515233581,0.590028422961568,STEW,MAT,logistic_regression,2000,4266
4266,0.7032348804500703,0.1787037037037037,0.8810420590081607,0.23365617433414043,0.6068236904512799,STEW,MAT,svm_rbf,2000,4266
4266,0.7437880918893577,0.003703703703703704,0.9946641556811049,0.007266121707538601,0.5071178012601427,STEW,MAT,random_forest,2000,4266
360,0.5083333333333333,0.48333333333333334,0.5333333333333333,0.49572649572649574,0.5083333333333333,MAT,DS007262,logistic_regression,4266,360
360,0.5,0.0,1.0,0.0,0.5,MAT,DS007262,svm_rbf,4266,360
360,0.5,0.0,1.0,0.0,0.4515123456790123,MAT,DS007262,random_forest,4266,360
4266,0.6891701828410689,0.05740740740740741,0.9033270558694287,0.08551724137931034,0.44595917323475387,DS007262,MAT,logistic_regression,360,4266
4266,0.6050164088138772,0.11203703703703703,0.7721280602636534,0.12558380902957966,0.6342142126432773,DS007262,MAT,svm_rbf,360,4266
4266,0.7273792780121894,0.022222222222222223,0.9664155681104833,0.03963666391412056,0.452089581734905,DS007262,MAT,random_forest,360,4266
360,0.4722222222222222,0.5166666666666667,0.42777777777777776,0.4946808510638298,0.4722222222222222,STEW,DS007262,logistic_regression,2000,360
360,0.5,1.0,0.0,0.6666666666666666,0.5,STEW,DS007262,svm_rbf,2000,360
360,0.5,1.0,0.0,0.6666666666666666,0.5091358024691358,STEW,DS007262,random_forest,2000,360
2000,0.4705,0.028543307086614175,0.926829268292683,0.051924798567591766,0.43203960213814735,DS007262,STEW,logistic_regression,360,2000
2000,0.4795,0.05511811023622047,0.9176829268292683,0.0971379011274935,0.5619548604442737,DS007262,STEW,svm_rbf,360,2000
2000,0.4865,0.04429133858267716,0.943089430894309,0.08057296329453895,0.45608275718583957,DS007262,STEW,random_forest,360,2000
360,0.46944444444444444,0.6555555555555556,0.2833333333333333,0.5526932084309133,0.46944444444444444,MAT+STEW,DS007262,logistic_regression,6266,360
360,0.5,1.0,0.0,0.6666666666666666,0.5,MAT+STEW,DS007262,svm_rbf,6266,360
360,0.5083333333333333,0.10555555555555556,0.9111111111111111,0.17674418604651163,0.5067129629629631,MAT+STEW,DS007262,random_forest,6266,360
