window_uid,subject_id,condition,label,source_edf,start_sec,end_sec,source_duration_sec,window_extends_beyond_source,window_seconds,overlap_seconds,overlap_status,segment_type,row_id,used_for_calibration,used_for_scoring,calibration_scoring_overlap
Subject00|rest|Subject00_1.edf|0.000|4.000,Subject00,rest,0,Subject00_1.edf,0.0,4.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,0,True,False,False
Subject00|rest|Subject00_1.edf|2.000|6.000,Subject00,rest,0,Subject00_1.edf,2.0,6.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,1,True,False,False
Subject00|rest|Subject00_1.edf|4.000|8.000,Subject00,rest,0,Subject00_1.edf,4.0,8.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,2,True,False,False
Subject00|rest|Subject00_1.edf|6.000|10.000,Subject00,rest,0,Subject00_1.edf,6.0,10.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,3,True,False,False
Subject00|rest|Subject00_1.edf|8.000|12.000,Subject00,rest,0,Subject00_1.edf,8.0,12.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,4,True,False,False
Subject00|rest|Subject00_1.edf|10.000|14.000,Subject00,rest,0,Subject00_1.edf,10.0,14.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,5,True,False,False
Subject00|rest|Subject00_1.edf|12.000|16.000,Subject00,rest,0,Subject00_1.edf,12.0,16.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,6,True,False,False
Subject00|rest|Subject00_1.edf|14.000|18.000,Subject00,rest,0,Subject00_1.edf,14.0,18.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,7,True,False,False
Subject00|rest|Subject00_1.edf|16.000|20.000,Subject00,rest,0,Subject00_1.edf,16.0,20.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,8,True,False,False
Subject00|rest|Subject00_1.edf|18.000|22.000,Subject00,rest,0,Subject00_1.edf,18.0,22.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,9,True,False,False
Subject00|rest|Subject00_1.edf|20.000|24.000,Subject00,rest,0,Subject00_1.edf,20.0,24.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,10,True,False,False
Subject00|rest|Subject00_1.edf|22.000|26.000,Subject00,rest,0,Subject00_1.edf,22.0,26.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,11,True,False,False
Subject00|rest|Subject00_1.edf|24.000|28.000,Subject00,rest,0,Subject00_1.edf,24.0,28.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,12,True,False,False
Subject00|rest|Subject00_1.edf|26.000|30.000,Subject00,rest,0,Subject00_1.edf,26.0,30.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,13,True,False,False
Subject00|rest|Subject00_1.edf|28.000|32.000,Subject00,rest,0,Subject00_1.edf,28.0,32.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,unused,14,False,False,False
Subject00|rest|Subject00_1.edf|30.000|34.000,Subject00,rest,0,Subject00_1.edf,30.0,34.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,15,False,True,False
Subject00|rest|Subject00_1.edf|32.000|36.000,Subject00,rest,0,Subject00_1.edf,32.0,36.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,16,False,True,False
Subject00|rest|Subject00_1.edf|34.000|38.000,Subject00,rest,0,Subject00_1.edf,34.0,38.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,17,False,True,False
Subject00|rest|Subject00_1.edf|36.000|40.000,Subject00,rest,0,Subject00_1.edf,36.0,40.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,18,False,True,False
Subject00|rest|Subject00_1.edf|38.000|42.000,Subject00,rest,0,Subject00_1.edf,38.0,42.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,19,False,True,False
Subject00|rest|Subject00_1.edf|40.000|44.000,Subject00,rest,0,Subject00_1.edf,40.0,44.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,20,False,True,False
Subject00|rest|Subject00_1.edf|42.000|46.000,Subject00,rest,0,Subject00_1.edf,42.0,46.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,21,False,True,False
Subject00|rest|Subject00_1.edf|44.000|48.000,Subject00,rest,0,Subject00_1.edf,44.0,48.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,22,False,True,False
Subject00|rest|Subject00_1.edf|46.000|50.000,Subject00,rest,0,Subject00_1.edf,46.0,50.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,23,False,True,False
Subject00|rest|Subject00_1.edf|48.000|52.000,Subject00,rest,0,Subject00_1.edf,48.0,52.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,24,False,True,False
Subject00|rest|Subject00_1.edf|50.000|54.000,Subject00,rest,0,Subject00_1.edf,50.0,54.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,25,False,True,False
Subject00|rest|Subject00_1.edf|52.000|56.000,Subject00,rest,0,Subject00_1.edf,52.0,56.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,26,False,True,False
Subject00|rest|Subject00_1.edf|54.000|58.000,Subject00,rest,0,Subject00_1.edf,54.0,58.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,27,False,True,False
Subject00|rest|Subject00_1.edf|56.000|60.000,Subject00,rest,0,Subject00_1.edf,56.0,60.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,28,False,True,False
Subject00|rest|Subject00_1.edf|58.000|62.000,Subject00,rest,0,Subject00_1.edf,58.0,62.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,unused,29,False,False,False
Subject00|rest|Subject00_1.edf|60.000|64.000,Subject00,rest,0,Subject00_1.edf,60.0,64.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,unused,30,False,False,False
Subject00|rest|Subject00_1.edf|62.000|66.000,Subject00,rest,0,Subject00_1.edf,62.0,66.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,unused,31,False,False,False
Subject00|rest|Subject00_1.edf|64.000|68.000,Subject00,rest,0,Subject00_1.edf,64.0,68.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,unused,32,False,False,False
