n_annotations,trailing_flatline_channels,global_flatline_fraction,subject_id,condition,file
0,0,0.011391608698996693,Subject00,rest,Subject00_1.edf
0,0,0.03242040065808575,Subject00,arithmetic,Subject00_2.edf
0,0,0.011715788085583358,Subject01,rest,Subject01_1.edf
0,0,0.03309380947772509,Subject01,arithmetic,Subject01_2.edf
0,0,0.011675952482994318,Subject02,rest,Subject02_1.edf
0,0,0.03223491080357431,Subject02,arithmetic,Subject02_2.edf
0,0,0.01169793074649172,Subject03,rest,Subject03_1.edf
0,0,0.0326986354398529,Subject03,arithmetic,Subject03_2.edf
0,0,0.011891316368427864,Subject04,rest,Subject04_1.edf
0,0,0.03230749379012226,Subject04,arithmetic,Subject04_2.edf
0,0,0.01157979758019319,Subject05,rest,Subject05_1.edf
0,0,0.03248895125649214,Subject05,arithmetic,Subject05_2.edf
0,0,0.011482269035923472,Subject06,rest,Subject06_1.edf
0,0,0.032573631407464755,Subject06,arithmetic,Subject06_2.edf
0,0,0.0115234782799811,Subject07,rest,Subject07_1.edf
0,0,0.03250911319719991,Subject07,arithmetic,Subject07_2.edf
0,0,0.011394355981933868,Subject08,rest,Subject08_1.edf
0,0,0.03261395528888029,Subject08,arithmetic,Subject08_2.edf
0,0,0.011692436180617369,Subject09,rest,Subject09_1.edf
0,0,0.03229942901383916,Subject09,arithmetic,Subject09_2.edf
0,0,0.008641049372865669,Subject10,rest,Subject10_1.edf
0,0,0.03262202006516339,Subject10,arithmetic,Subject10_2.edf
0,0,0.011638864163342455,Subject11,rest,Subject11_1.edf
0,0,0.03260589051259718,Subject11,arithmetic,Subject11_2.edf
0,0,0.011541335619072737,Subject12,rest,Subject12_1.edf
0,0,0.03252524274976612,Subject12,arithmetic,Subject12_2.edf
0,0,0.011707546236771832,Subject13,rest,Subject13_1.edf
0,0,0.032634117229588054,Subject13,arithmetic,Subject13_2.edf
0,0,0.011792712007824262,Subject14,rest,Subject14_1.edf
0,0,0.03286799574179812,Subject14,arithmetic,Subject14_2.edf
0,0,0.011504247299420872,Subject15,rest,Subject15_1.edf
0,0,0.03253330752604923,Subject15,arithmetic,Subject15_2.edf
0,0,0.011485016318860647,Subject16,rest,Subject16_1.edf
0,0,0.03248895125649214,Subject16,arithmetic,Subject16_2.edf
0,0,0.011458917130957483,Subject17,rest,Subject17_1.edf
0,0,0.032634117229588054,Subject17,arithmetic,Subject17_2.edf
0,0,0.011563313882570139,Subject18,rest,Subject18_1.edf
0,0,0.032327655730830025,Subject18,arithmetic,Subject18_2.edf
0,0,0.011316058418224376,Subject19,rest,Subject19_1.edf
0,0,0.03248895125649214,Subject19,arithmetic,Subject19_2.edf
0,0,0.011452048923614545,Subject20,rest,Subject20_1.edf
0,0,0.03235991483596245,Subject20,arithmetic,Subject20_2.edf
0,0,0.011489137243266409,Subject21,rest,Subject21_1.edf
0,0,0.03236797961224556,Subject21,arithmetic,Subject21_2.edf
0,0,0.011391608698996693,Subject22,rest,Subject22_1.edf
0,0,0.03252524274976612,Subject22,arithmetic,Subject22_2.edf
0,0,0.011270728249760987,Subject23,rest,Subject23_1.edf
0,0,0.0326986354398529,Subject23,arithmetic,Subject23_2.edf
0,0,0.011512489148232398,Subject24,rest,Subject24_1.edf
0,0,0.03243653021065196,Subject24,arithmetic,Subject24_2.edf
0,0,0.011314684776755788,Subject25,rest,Subject25_1.edf
0,0,0.03272686215684377,Subject25,arithmetic,Subject25_2.edf
0,0,0.0115344674117298,Subject26,rest,Subject26_1.edf
0,0,0.032888157682505886,Subject26,arithmetic,Subject26_2.edf
0,0,0.011441059791865845,Subject27,rest,Subject27_1.edf
0,0,0.032448627375076616,Subject27,arithmetic,Subject27_2.edf
0,0,0.011476774470049122,Subject28,rest,Subject28_1.edf
0,0,0.03250911319719991,Subject28,arithmetic,Subject28_2.edf
0,0,0.011377872284310817,Subject29,rest,Subject29_1.edf
0,0,0.03246475692764283,Subject29,arithmetic,Subject29_2.edf
0,0,0.011438312508928669,Subject30,rest,Subject30_1.edf
0,0,0.03246072453950127,Subject30,arithmetic,Subject30_2.edf
0,0,0.017675441886047152,Subject31,rest,Subject31_1.edf
0,0,0.03300509693861092,Subject31,arithmetic,Subject31_2.edf
0,0,0.011491884526203585,Subject32,rest,Subject32_1.edf
0,0,0.03260589051259718,Subject32,arithmetic,Subject32_2.edf
0,0,0.011366883152562115,Subject33,rest,Subject33_1.edf
0,0,0.03237201200038711,Subject33,arithmetic,Subject33_2.edf
0,0,0.01137649864284223,Subject34,rest,Subject34_1.edf
0,0,0.032529275137907675,Subject34,arithmetic,Subject34_2.edf
0,0,0.011603149485159177,Subject35,rest,Subject35_1.edf
0,0,0.032484918868350594,Subject35,arithmetic,Subject35_2.edf
