subject_id,subject_num,rest_no_task_file,high_workload_file,rest_present,task_present,rest_samples,task_samples,n_channels,rating_lo_rest,rating_hi_task,rating_present,rating_monotonic_lo_lt_hi
sub01,1,sub01_lo.txt,sub01_hi.txt,True,True,19200,19200,14,2,8,True,True
sub02,2,sub02_lo.txt,sub02_hi.txt,True,True,19200,19200,14,1,5,True,True
sub03,3,sub03_lo.txt,sub03_hi.txt,True,True,19200,19200,14,1,5,True,True
sub04,4,sub04_lo.txt,sub04_hi.txt,True,True,19200,19200,14,2,5,True,True
sub05,5,sub05_lo.txt,sub05_hi.txt,True,True,19200,19200,14,,,False,
sub06,6,sub06_lo.txt,sub06_hi.txt,True,True,19200,19200,14,4,7,True,True
sub07,7,sub07_lo.txt,sub07_hi.txt,True,True,19200,19200,14,1,5,True,True
sub08,8,sub08_lo.txt,sub08_hi.txt,True,True,19200,19200,14,3,7,True,True
sub09,9,sub09_lo.txt,sub09_hi.txt,True,True,19200,19200,14,1,7,True,True
sub10,10,sub10_lo.txt,sub10_hi.txt,True,True,19200,19200,14,1,6,True,True
sub11,11,sub11_lo.txt,sub11_hi.txt,True,True,19200,19200,14,1,5,True,True
sub12,12,sub12_lo.txt,sub12_hi.txt,True,True,19200,19200,14,1,6,True,True
sub13,13,sub13_lo.txt,sub13_hi.txt,True,True,19200,19200,14,2,7,True,True
sub14,14,sub14_lo.txt,sub14_hi.txt,True,True,19200,19200,14,2,7,True,True
sub15,15,sub15_lo.txt,sub15_hi.txt,True,True,19200,19200,14,1,6,True,True
sub16,16,sub16_lo.txt,sub16_hi.txt,True,True,19200,19200,14,2,9,True,True
sub17,17,sub17_lo.txt,sub17_hi.txt,True,True,19200,19200,14,1,9,True,True
sub18,18,sub18_lo.txt,sub18_hi.txt,True,True,19200,19200,14,4,7,True,True
sub19,19,sub19_lo.txt,sub19_hi.txt,True,True,19200,19200,14,1,5,True,True
sub20,20,sub20_lo.txt,sub20_hi.txt,True,True,19200,19200,14,2,8,True,True
sub21,21,sub21_lo.txt,sub21_hi.txt,True,True,19200,19200,14,1,6,True,True
sub22,22,sub22_lo.txt,sub22_hi.txt,True,True,19200,19200,14,5,8,True,True
sub23,23,sub23_lo.txt,sub23_hi.txt,True,True,19200,19200,14,1,5,True,True
sub24,24,sub24_lo.txt,sub24_hi.txt,True,True,19200,19200,14,,,False,
sub25,25,sub25_lo.txt,sub25_hi.txt,True,True,19200,19200,14,2,4,True,True
sub26,26,sub26_lo.txt,sub26_hi.txt,True,True,19200,19200,14,1,8,True,True
sub27,27,sub27_lo.txt,sub27_hi.txt,True,True,19200,19200,14,1,4,True,True
sub28,28,sub28_lo.txt,sub28_hi.txt,True,True,19200,19200,14,2,7,True,True
sub29,29,sub29_lo.txt,sub29_hi.txt,True,True,19200,19200,14,3,6,True,True
sub30,30,sub30_lo.txt,sub30_hi.txt,True,True,19200,19200,14,1,8,True,True
sub31,31,sub31_lo.txt,sub31_hi.txt,True,True,19200,19200,14,1,6,True,True
sub32,32,sub32_lo.txt,sub32_hi.txt,True,True,19200,19200,14,2,7,True,True
sub33,33,sub33_lo.txt,sub33_hi.txt,True,True,19200,19200,14,1,5,True,True
sub34,34,sub34_lo.txt,sub34_hi.txt,True,True,19200,19200,14,3,9,True,True
sub35,35,sub35_lo.txt,sub35_hi.txt,True,True,19200,19200,14,2,4,True,True
sub36,36,sub36_lo.txt,sub36_hi.txt,True,True,19200,19200,14,2,8,True,True
sub37,37,sub37_lo.txt,sub37_hi.txt,True,True,19200,19200,14,3,8,True,True
sub38,38,sub38_lo.txt,sub38_hi.txt,True,True,19200,19200,14,1,5,True,True
sub39,39,sub39_lo.txt,sub39_hi.txt,True,True,19200,19200,14,3,8,True,True
sub40,40,sub40_lo.txt,sub40_hi.txt,True,True,19200,19200,14,1,5,True,True
sub41,41,sub41_lo.txt,sub41_hi.txt,True,True,19200,19200,14,3,6,True,True
sub42,42,sub42_lo.txt,sub42_hi.txt,True,True,19200,19200,14,,,False,
sub43,43,sub43_lo.txt,sub43_hi.txt,True,True,19200,19200,14,1,7,True,True
sub44,44,sub44_lo.txt,sub44_hi.txt,True,True,19200,19200,14,3,8,True,True
sub45,45,sub45_lo.txt,sub45_hi.txt,True,True,19200,19200,14,1,8,True,True
sub46,46,sub46_lo.txt,sub46_hi.txt,True,True,19200,19200,14,2,7,True,True
sub47,47,sub47_lo.txt,sub47_hi.txt,True,True,19200,19200,14,1,8,True,True
sub48,48,sub48_lo.txt,sub48_hi.txt,True,True,19200,19200,14,1,7,True,True
