subject_id,input_path,input_type,file_sha256,condition_labels,rest_rows,workload_rows,total_rows,sampling_rate_hz,channel_names,duration_or_row_count_status,genuine_baseline_condition,timing_available,reconstruction_from_source_possible,notes
1,results/multi_dataset/stew_features.parquet,cached_feature_table_only,0d084bfad1228549e6b470bad0e947b372ff1568e3162aa2a0ba05ad1d550152,rest(label=0); workload(label=1),20,16,36,not verifiable from cached feature table,"Af3,Af4,F3,F4,F7,F8,Fc5,Fc6,O1,O2,T3,T4,T5,T6",row counts available; source window timing/duration unavailable,"rest rows exist, but source timing is unavailable and non-overlap cannot be audited",False,False,"Cached features lack raw EEG path, sample index, window start/end, and source file IDs."
10,results/multi_dataset/stew_features.parquet,cached_feature_table_only,0d084bfad1228549e6b470bad0e947b372ff1568e3162aa2a0ba05ad1d550152,rest(label=0); workload(label=1),18,22,40,not verifiable from cached feature table,"Af3,Af4,F3,F4,F7,F8,Fc5,Fc6,O1,O2,T3,T4,T5,T6",row counts available; source window timing/duration unavailable,"rest rows exist, but source timing is unavailable and non-overlap cannot be audited",False,False,"Cached features lack raw EEG path, sample index, window start/end, and source file IDs."
11,results/multi_dataset/stew_features.parquet,cached_feature_table_only,0d084bfad1228549e6b470bad0e947b372ff1568e3162aa2a0ba05ad1d550152,rest(label=0); workload(label=1),15,20,35,not verifiable from cached feature table,"Af3,Af4,F3,F4,F7,F8,Fc5,Fc6,O1,O2,T3,T4,T5,T6",row counts available; source window timing/duration unavailable,"rest rows exist, but source timing is unavailable and non-overlap cannot be audited",False,False,"Cached features lack raw EEG path, sample index, window start/end, and source file IDs."
12,results/multi_dataset/stew_features.parquet,cached_feature_table_only,0d084bfad1228549e6b470bad0e947b372ff1568e3162aa2a0ba05ad1d550152,rest(label=0); workload(label=1),18,27,45,not verifiable from cached feature table,"Af3,Af4,F3,F4,F7,F8,Fc5,Fc6,O1,O2,T3,T4,T5,T6",row counts available; source window timing/duration unavailable,"rest rows exist, but source timing is unavailable and non-overlap cannot be audited",False,False,"Cached features lack raw EEG path, sample index, window start/end, and source file IDs."
13,results/multi_dataset/stew_features.parquet,cached_feature_table_only,0d084bfad1228549e6b470bad0e947b372ff1568e3162aa2a0ba05ad1d550152,rest(label=0); workload(label=1),30,22,52,not verifiable from cached feature table,"Af3,Af4,F3,F4,F7,F8,Fc5,Fc6,O1,O2,T3,T4,T5,T6",row counts available; source window timing/duration unavailable,"rest rows exist, but source timing is unavailable and non-overlap cannot be audited",False,False,"Cached features lack raw EEG path, sample index, window start/end, and source file IDs."
14,results/multi_dataset/stew_features.parquet,cached_feature_table_only,0d084bfad1228549e6b470bad0e947b372ff1568e3162aa2a0ba05ad1d550152,rest(label=0); workload(label=1),19,21,40,not verifiable from cached feature table,"Af3,Af4,F3,F4,F7,F8,Fc5,Fc6,O1,O2,T3,T4,T5,T6",row counts available; source window timing/duration unavailable,"rest rows exist, but source timing is unavailable and non-overlap cannot be audited",False,False,"Cached features lack raw EEG path, sample index, window start/end, and source file IDs."
15,results/multi_dataset/stew_features.parquet,cached_feature_table_only,0d084bfad1228549e6b470bad0e947b372ff1568e3162aa2a0ba05ad1d550152,rest(label=0); workload(label=1),26,30,56,not verifiable from cached feature table,"Af3,Af4,F3,F4,F7,F8,Fc5,Fc6,O1,O2,T3,T4,T5,T6",row counts available; source window timing/duration unavailable,"rest rows exist, but source timing is unavailable and non-overlap cannot be audited",False,False,"Cached features lack raw EEG path, sample index, window start/end, and source file IDs."
16,results/multi_dataset/stew_features.parquet,cached_feature_table_only,0d084bfad1228549e6b470bad0e947b372ff1568e3162aa2a0ba05ad1d550152,rest(label=0); workload(label=1),25,24,49,not verifiable from cached feature table,"Af3,Af4,F3,F4,F7,F8,Fc5,Fc6,O1,O2,T3,T4,T5,T6",row counts available; source window timing/duration unavailable,"rest rows exist, but source timing is unavailable and non-overlap cannot be audited",False,False,"Cached features lack raw EEG path, sample index, window start/end, and source file IDs."
17,results/multi_dataset/stew_features.parquet,cached_feature_table_only,0d084bfad1228549e6b470bad0e947b372ff1568e3162aa2a0ba05ad1d550152,rest(label=0); workload(label=1),18,26,44,not verifiable from cached feature table,"Af3,Af4,F3,F4,F7,F8,Fc5,Fc6,O1,O2,T3,T4,T5,T6",row counts available; source window timing/duration unavailable,"rest rows exist, but source timing is unavailable and non-overlap cannot be audited",False,False,"Cached features lack raw EEG path, sample index, window start/end, and source file IDs."
18,results/multi_dataset/stew_features.parquet,cached_feature_table_only,0d084bfad1228549e6b470bad0e947b372ff1568e3162aa2a0ba05ad1d550152,rest(label=0); workload(label=1),25,23,48,not verifiable from cached feature table,"Af3,Af4,F3,F4,F7,F8,Fc5,Fc6,O1,O2,T3,T4,T5,T6",row counts available; source window timing/duration unavailable,"rest rows exist, but source timing is unavailable and non-overlap cannot be audited",False,False,"Cached features lack raw EEG path, sample index, window start/end, and source file IDs."
