subject_id,calibration,subject_auc,n_rest,n_task
sub01,absolute,0.05102040816326531,14,14
sub02,absolute,0.8418367346938775,14,14
sub03,absolute,0.4183673469387755,14,14
sub04,absolute,0.8010204081632653,14,14
sub05,absolute,0.9285714285714286,14,14
sub06,absolute,0.8010204081632654,14,14
sub07,absolute,0.9183673469387756,14,14
sub08,absolute,0.8724489795918368,14,14
sub09,absolute,0.9081632653061225,14,14
sub10,absolute,0.9693877551020409,14,14
sub11,absolute,0.9642857142857142,14,14
sub12,absolute,0.9591836734693877,14,14
sub13,absolute,0.9540816326530612,14,14
sub14,absolute,0.5357142857142856,14,14
sub15,absolute,0.3775510204081633,14,14
sub16,absolute,0.9744897959183674,14,14
sub17,absolute,0.7908163265306123,14,14
sub18,absolute,0.49489795918367346,14,14
sub19,absolute,1.0,14,14
sub20,absolute,1.0,14,14
sub21,absolute,0.6377551020408163,14,14
sub22,absolute,0.6938775510204083,14,14
sub23,absolute,0.9846938775510204,14,14
sub24,absolute,0.8469387755102041,14,14
sub25,absolute,0.6377551020408163,14,14
sub26,absolute,0.6173469387755102,14,14
sub27,absolute,1.0,14,14
sub28,absolute,0.770408163265306,14,14
sub29,absolute,0.8673469387755103,14,14
sub30,absolute,0.7193877551020409,14,14
sub31,absolute,0.9540816326530612,14,14
sub32,absolute,0.7295918367346939,14,14
sub33,absolute,0.9846938775510204,14,14
sub34,absolute,1.0,14,14
sub35,absolute,0.8928571428571429,14,14
sub36,absolute,0.8928571428571428,14,14
sub37,absolute,0.7091836734693877,14,14
sub38,absolute,0.6275510204081632,14,14
sub39,absolute,0.9591836734693877,14,14
sub40,absolute,0.9846938775510203,14,14
sub41,absolute,0.8622448979591837,14,14
sub42,absolute,0.9591836734693878,14,14
sub43,absolute,0.8571428571428572,14,14
sub44,absolute,0.7551020408163265,14,14
sub45,absolute,0.9693877551020409,14,14
sub46,absolute,1.0,14,14
sub47,absolute,0.7295918367346939,14,14
sub48,absolute,0.9540816326530612,14,14
sub01,mean_subtraction,0.4438775510204082,14,14
sub02,mean_subtraction,0.9438775510204082,14,14
sub03,mean_subtraction,0.3112244897959184,14,14
sub04,mean_subtraction,0.7397959183673469,14,14
sub05,mean_subtraction,0.9030612244897959,14,14
sub06,mean_subtraction,0.846938775510204,14,14
sub07,mean_subtraction,0.7551020408163265,14,14
sub08,mean_subtraction,0.9183673469387756,14,14
sub09,mean_subtraction,0.8826530612244898,14,14
sub10,mean_subtraction,0.923469387755102,14,14
sub11,mean_subtraction,0.9693877551020409,14,14
sub12,mean_subtraction,0.9846938775510204,14,14
sub13,mean_subtraction,1.0,14,14
sub14,mean_subtraction,0.7806122448979591,14,14
sub15,mean_subtraction,0.4030612244897959,14,14
sub16,mean_subtraction,0.9795918367346939,14,14
sub17,mean_subtraction,0.4744897959183674,14,14
sub18,mean_subtraction,0.5561224489795918,14,14
sub19,mean_subtraction,1.0,14,14
sub20,mean_subtraction,0.9897959183673469,14,14
sub21,mean_subtraction,0.8877551020408163,14,14
sub22,mean_subtraction,0.9948979591836735,14,14
sub23,mean_subtraction,1.0,14,14
sub24,mean_subtraction,0.8826530612244897,14,14
sub25,mean_subtraction,0.9081632653061225,14,14
sub26,mean_subtraction,0.4846938775510204,14,14
sub27,mean_subtraction,0.7806122448979592,14,14
sub28,mean_subtraction,0.7244897959183673,14,14
sub29,mean_subtraction,0.9744897959183674,14,14
sub30,mean_subtraction,1.0,14,14
sub31,mean_subtraction,0.9183673469387755,14,14
sub32,mean_subtraction,0.7551020408163265,14,14
sub33,mean_subtraction,0.9336734693877551,14,14
sub34,mean_subtraction,0.9540816326530612,14,14
sub35,mean_subtraction,0.8367346938775511,14,14
sub36,mean_subtraction,0.9438775510204083,14,14
sub37,mean_subtraction,0.7397959183673468,14,14
sub38,mean_subtraction,0.8061224489795918,14,14
sub39,mean_subtraction,0.9438775510204082,14,14
sub40,mean_subtraction,1.0,14,14
sub41,mean_subtraction,0.739795918367347,14,14
sub42,mean_subtraction,0.9642857142857143,14,14
sub43,mean_subtraction,0.8928571428571428,14,14
sub44,mean_subtraction,0.8265306122448979,14,14
sub45,mean_subtraction,0.9948979591836735,14,14
sub46,mean_subtraction,1.0,14,14
sub47,mean_subtraction,0.6479591836734694,14,14
sub48,mean_subtraction,0.9540816326530612,14,14
sub01,zscore,0.9387755102040817,14,14
sub02,zscore,0.9438775510204082,14,14
sub03,zscore,0.3520408163265306,14,14
sub04,zscore,0.8571428571428572,14,14
sub05,zscore,0.9948979591836735,14,14
sub06,zscore,0.8928571428571428,14,14
sub07,zscore,0.9438775510204083,14,14
sub08,zscore,0.9285714285714286,14,14
sub09,zscore,0.8877551020408163,14,14
sub10,zscore,0.8928571428571429,14,14
sub11,zscore,0.8928571428571429,14,14
sub12,zscore,1.0,14,14
sub13,zscore,1.0,14,14
sub14,zscore,0.9897959183673469,14,14
sub15,zscore,0.6377551020408163,14,14
sub16,zscore,1.0,14,14
sub17,zscore,0.826530612244898,14,14
sub18,zscore,0.9948979591836735,14,14
sub19,zscore,1.0,14,14
sub20,zscore,0.9183673469387754,14,14
sub21,zscore,0.9540816326530612,14,14
sub22,zscore,0.8826530612244898,14,14
sub23,zscore,1.0,14,14
sub24,zscore,0.8367346938775512,14,14
sub25,zscore,0.9285714285714286,14,14
sub26,zscore,1.0,14,14
sub27,zscore,0.923469387755102,14,14
sub28,zscore,0.8928571428571429,14,14
sub29,zscore,1.0,14,14
sub30,zscore,1.0,14,14
sub31,zscore,0.9183673469387755,14,14
sub32,zscore,0.8061224489795918,14,14
sub33,zscore,0.7193877551020409,14,14
sub34,zscore,0.8316326530612246,14,14
sub35,zscore,0.9744897959183674,14,14
sub36,zscore,1.0,14,14
sub37,zscore,0.5051020408163265,14,14
sub38,zscore,0.8979591836734694,14,14
sub39,zscore,0.8010204081632653,14,14
sub40,zscore,0.9642857142857143,14,14
sub41,zscore,0.8571428571428571,14,14
sub42,zscore,0.989795918367347,14,14
sub43,zscore,0.8724489795918366,14,14
sub44,zscore,1.0,14,14
sub45,zscore,1.0,14,14
sub46,zscore,0.8163265306122449,14,14
sub47,zscore,0.9336734693877551,14,14
sub48,zscore,0.9387755102040816,14,14
